Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",9,Lake Buena Vista,"Had a lovely quick service meal freshly cooked to order, very tasty and in no time at all. The lovely Cat and Cindy could not have been more helpful, telling us where everything was and helping wherever possible and in general making our time very...",7-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Top service at Disneys Grand Floridian from Cat and Cindy,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",64,Lake Buena Vista,"Didn't stay at hotel, brought wife and daughters to buffet-style meal with Disney character meet and greet. FIRST CLASS operation here. Old building, but the food (for a buffet) was great, and the characters were highly interactive. They even acted out a scene with each...",7-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Nice place!,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",10,Lake Buena Vista,Our stay here has been fab.lovely clean rooms with great views .we had booked three rooms as we had a party of 9 .staff have been fab .my daughter and myself have to have Gluten free diet due to an allergies .the Disney food has...,27-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Our family hotel ,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",4,Lake Buena Vista,"I stay in hotels several times a month for work. This time was for pleasure. And pleasure I experienced. The beds were so comfortable we didn't want to leave them to go to the parks! The room service impeccable, always fresh, and always on time....",22-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Worth every minute and every penny,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",21,Lake Buena Vista,"This is a very nice resort in a great location. Monorail access to Magic Kingdom; great view of MK fireworks show, and they pipe in the music with it. A couple pools and splash pad with a bar at each. Very friendly staff. However, know...",20-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Classy Escape from Disney Frenzy,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",14,Lake Buena Vista,"the hotel has an exceptional Club level where we were lucky enough to be staying. You will never go hungry or thirsty! The rooms are very spacious and very clean.
The staff couldn't be nicer and are very helpful if needed. The convenience of having...",12-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Perfect for all,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",10,Lake Buena Vista,"Returned in April 2017 after my last visit 20 years ago , what a difference!!
The building itself is still as impressive and externally looks as good a it did on my first visit . The gardens and lawns are immaculate and extremely well maintained...",7-Jun-17,"ui_bubble_rating bubble_10,ratingDate relativeDate","Not the place it used to be , by a long way",4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",16,Lake Buena Vista,"What can you say about the greatest place to stay at the greatest place on earth!
All the accompaniments of the Grand Floridian, with the comforts of a beautiful DVC studio!
The room looked out over the water and the Polynesian Resort and Contemporary resorts,...",7-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate","""This Is The Place - DVC At It's Finest!""",4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",29,Lake Buena Vista,We had originally booked a garden view room but ended up in Conch Key with a theme park view. Wow! The rooms are large with comfortable queen size beds. We loved the toiletries and the chocolate left on the pillows at night. The staff were...,27-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful stay!,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",7,Lake Buena Vista,I won a trip to Disney from a radio station and can you believe they booked me at the Grand Floridian? I KNOW! Upon arrival I was greeted as I stepped off the Express---it makes you feel special to be greeted by name before entering...,21-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate","I won a Trip! Review from a ""regular gal""",4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",32,Lake Buena Vista,"My 14 yo daughter and I decided with about a weeks notice to take a trip to Disney, we were thrilled to be able to stay here. The hotel, grounds, staff, food, characters, etc., all far exceeded our expectations. We had a great 3 night...",19-Jun-17,"ui_bubble_rating bubble_50,ratingDate relativeDate",What a great place!,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",121,Lake Buena Vista,"First, I am a Disney fan. They do so much well and the Grand Floridian is no exception. However, I am also a ""get what you pay for"" guy and at $500 a night, I wouldn't choose to stay at the GF again. Also, as...",10-Jun-17,"ui_bubble_rating bubble_30,ratingDate relativeDate",Wny I wouldn't stay again - Positives and Negatives,4.5 Star Hotel
,,,,,,,,,
4401 Floridian Way,Disney's Grand Floridian Resort & Spa,"Orlando, FL 32830-8451",3,Lake Buena Vista,"We stayed at the Grand Floridian at the end of May and it was incredible. The grounds, the staff and the restaurants and the view from our room ( Boca Chica outer building with lagoon view) were amazing!!!! We saw the fireworks and the electric...",10-Jun-17,"ui_bubble_rating bubble_40,ratingDate relativeDate",Almost perfect ,4.5 Star Hotel
,,,,,,,,,
