word,freq
room,554
stay,297
time,165
famili,94
servic,91
clean,85
arriv,82
properti,76
year,74
experi,71
bed,71
disappoint,70
never,68
book,68
staff,64
expect,63
front,59
pool,58
food,56
check,56
magic,55
night,55
review,55
mani,54
week,54
desk,53
realli,52
great,52
last,51
resort,51
say,50
call,49
need,49
small,48
nice,48
visit,48
club,48
floor,46
even,46
park,46
old,46
place,46
start,45
bathroom,45
dirti,44
vacat,44
want,44
come,43
went,43
valu,43
back,43
use,42
much,42
will,42
pop,41
star,40
kid,40
smell,40
walk,40
didnt,39
thing,38
anim,38
tri,38
housekeep,37
well,37
bus,37
price,37
ask,36
littl,36
dont,36
day,36
hotel,35
look,35
level,35
know,35
husband,34
can,34
kingdom,34
work,34
long,34
request,34
motel,33
decid,33
centuri,33
told,32
everi,32
thought,32
world,31
bad,31
build,31
close,30
better,30
door,30
alway,30
view,30
hour,29
wait,29
plan,29
far,29
howev,28
past,28
member,28
took,27
recent,27
disney,27
travel,27
readi,26
luggag,26
sinc,26
theme,26
noth,26
beach,26
shower,25
worst,25
movi,25
daughter,25
peopl,25
made,25
upon,25
ever,25
reserv,25
let,25
pay,25
make,25
locat,24
carpet,24
huge,24
delux,24
came,24
money,24
lot,24
ground,24
least,24
dvc,24
guest,23
ago,23
almost,23
three,23
minut,23
paid,23
said,23
sever,23
area,23
next,22
find,22
return,22
issu,22
left,22
water,21
port,21
custom,21
terribl,21
near,21
think,21
high,21
give,21
still,21
horribl,21
main,21
beauti,21
second,20
help,20
spring,20
ive,20
found,20
outsid,20
extra,20
take,20
size,20
rude,20
open,19
anoth,19
everyth,19
also,19
lobbi,19
feel,19
bag,19
moder,19
orlean,19
around,19
wall,18
prefer,18
fan,18
month,18
rate,18
son,18
chang,18
caribbean,18
transport,18
now,18
larg,18
restaur,18
court,17
way,17
hair,17
date,17
that,17
big,17
less,17
friend,17
hard,17
impress,17
sleep,17
stop,17
group,17
villa,17
put,17
grand,17
basic,16
differ,16
worth,16
reason,16
coffe,16
onlin,16
lake,16
see,16
problem,16
avail,16
weve,16
love,16
saratoga,16
spent,16
dine,16
manag,16
actual,15
lodg,15
move,15
new,15
line,15
conveni,15
leav,15
towel,15
key,15
complain,15
decor,15
right,15
tell,15
wife,15
lack,15
construct,15
bug,14
free,14
enjoy,14
side,14
recommend,14
checkin,14
fix,14
extrem,14
full,14
wrong,14
understand,14
sport,14
end,14
sure,14
seem,14
expens,14
riversid,14
poor,14
children,14
floridian,14
morn,13
except,13
car,13
point,13
show,13
posit,13
florida,13
read,13
wasnt,13
given,13
wouldnt,13
budget,13
notic,13
though,13
although,13
polynesian,13
breakfast,13
due,13
2016,13
late,13
suit,13
art,13
standard,13
usual,12
spend,12
excit,12
get,12
qualiti,12
short,12
twice,12
earli,12
offer,12
fine,12
king,12
toilet,12
accommod,12
wdw,12
buse,12
receiv,12
definit,12
home,12
away,12
boardwalk,12
total,12
pros,12
child,12
decent,12
contemporari,12
run,11
updat,11
mold,11
prior,11
charg,11
sheet,11
overal,11
someth,11
enough,11
half,11
provid,11
anyth,11
cast,11
pillow,11
hot,11
forward,11
access,11
part,11
plus,11
amaz,11
person,11
concierg,11
per,11
typic,11
cant,11
outdat,10
previous,10
music,10
allstar,10
option,10
band,10
orlando,10
choos,10
multipl,10
miss,10
stain,10
fun,10
cover,10
