Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",1,Lake Buena Vista,"We visited in Early April with our two young daughters, ages 2 and 5. After reading several other reviews, I booked a Finding Nemo Family Suite as I read that they were closer to the main building with dining facilities, shuttle buses, and the main...","April 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful Family Vacation,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",2,Lake Buena Vista,"We had such a great stay! Loved the room, decor, pool, dining, staff. The zero entry pool was great for our toddler. We even left my son's stuffed animal and they overnighted it to us! We will go back!","April 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful Stay!,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",5,Lake Buena Vista,"I stayed there for four nights with my family in February 2017.
My children (6 and 8) loved the Little Mermaid building and the Cars building...
The Disney's services ( Food Court, shuttle to the parks, the Magic Band and much more) were excellent ......","April 22, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Disney's Resort ,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",21,Lake Buena Vista,"This resort is great for kids. Huge pool and lots of activities going on during day (making ty-dyed t-shirts) and a Disney film in the evening on the lawn. We loved that! They even provided the popcorn and mats to sit/lay on.
The room had...","May 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Lion King family Suite,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",1,Lake Buena Vista,"I stayed here with my three daughters on a family vacation and it was more than you could imagine, love the look of the place, the girls were amaze, the staff were wonderful, the pool was great and the room were clean. Return customer in...","April 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Love it,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",4,Lake Buena Vista,"This is our family's second stay here. We are not huge Disney fans, but just love the whimsy and bright resort. Staff is all very friendly and helpful. Wifi is the reason it didn't get a 5star. It is terrible. Spotty at best.","May 3, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Perfect for Disney fun!,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",7,Lake Buena Vista,This was our first Disney vacation with our 2 sons who are 3.5 and 2.5 and this hotel was perfect for us. The theming is amazing with photo opportunities everywhere! Just exploring the resort is an activity. I'll break down my review by a couple...,"May 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing!,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",5,Lake Buena Vista,"Stayed here for 2 weeks this month and I wouldn't hesitate to go back again. We stayed in the little mermaid rooms, which is not a 10 or 20 minute walk to the main building as some reviews have stated. It's literally a 5 min...","May 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Magical,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",8,Lake Buena Vista,"We had two suites in Finding Nemo for our family. This was our second stay in 3 years. It's the closest to the pool and main building with restaurant, arcade, office and gift shop. Spacious rooms with small refrigerator and microwave. Great rain shower heads....","May 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Second Time and Great Again,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",4,Lake Buena Vista,"Room was clean specious and staff was excellently helpful. Place was well designed and easy to get around.
They also have great transportation options for getting around Disney's parks. Good place and we would stay their again!!!","April 27, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Perfect for family's ,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",132,Lake Buena Vista,Now this is a place where large families flock to. It has suites that allow large number of family members to sleep in same room. It is a newer place and for a being a value resort is really nice. Worth staying,"May 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",1 word...FAMILY SUITES,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",4,Lake Buena Vista,"4 adults, 2 kids sharing the suite. Very nicely furnished, very comfortable. Of course we were only in the suite to clean up and sleep, the rest of the time at the parks or the pool. Separate bedroom with queen bed and private bath, fold...","May 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Cars Suite,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",18,Lake Buena Vista,Went with our three year old son and he loved it! We stayed in Little Mermaid room. The theming of the room was super cute and I loved the shower! The beds were comfortable. A bit of a walk to transportation and main hall but...,"April 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Hotel,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",55,Lake Buena Vista,We stayed here for three nights before driving down to Miami for a cruise to try and pack in some Disney magic and this hotel was everything we had hoped for and more! We love Disney World and have previously stayed in Value resorts All...,"May 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",AMAZING DISNEY EXPERIENCE,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",16,Lake Buena Vista,We are two adults and one toddler and stayed in a first floor pool side Little Mermaid suite in building 7 (Ursula). The theming is great and the room was adorable! Perfect for families with little ones. Room is on the small side but was...,"May 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Little Mermaid Suite Magic,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",1,Lake Buena Vista,"The rooms are laid out as suites with a Murphy bed and fold out sofa
Kids had own bathroom
Parents got the bedroom to preserve our sanity for the week at Disney
It wasn't inexpensive but Disney knows what families want and the service was...","May 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Disney hotel for families with small lids,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",80,Lake Buena Vista,My family and I stayed at Art of Animation during Easter week. I must say we were impressed with the CARS suite we were upgraded to. The room was amazing with plenty of room for the four of us. two full baths a kitchenette a...,"May 14, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Suite Deal,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",6,Lake Buena Vista,"Me and my boyfriend have just stayed here for 2 weeks from 28th April and had a great time! Here is some information below about our trip...
Room
We stayed in the Lion King suite. For the two of us, the room was huge and...","May 13, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great time!!!,3.0 Star Hotel
1850 Animation Way,Disney's Art of Animation Resort,"Kissimmee, FL 32830-8400",4,Lake Buena Vista,"I was really impressed with the Art of Animation Resort. We stayed in a standard Little Mermaid room which was a great size for myself and my 12 year old son. Plenty of space, clean with everything you'd need (a powerful hairdryer too which is...","May 1, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great resort ,3.0 Star Hotel
