Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",73,Lake Buena Vista,Disney's Old Key West is a gorgeous townhome type community on Walt Disney World property. The resort is located near the Magic Kingdom and is closest to the Disney Springs area. The rooms are HUGE. The landscaping is Devine. The service is sublime. I wouldn't...,"April 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",I love this place,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",69,Lake Buena Vista,"We recently stayed in a 3BR GV, where we had my family, my brother's family, and our parents. The room was great on space, with the exception of the one bedroom being tiny compared to the other two. We liked the location of our villa,...","April 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",3 Bedroom Grand Villa was grand!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",57,Lake Buena Vista,The service is pure Disney and the accommodations are spacious. Easy access to all of Disneyworld and the rest of Orlando. Free transportation to the parks and Disney Springs (shopping). Easy drive to the Orange County Convention Center.,"April 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great place to lay your head and visit,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",36,Lake Buena Vista,"Rooms are bigger than most other Disney resorts useful if like me travelling with adult family. Stayed in one bedroom suite sleeps 5 pull out sofa bed in lounge should sleep 2 but bed is small, mattress very thin could feel every spring and that...","May 17, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Room size good but that's all,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",2,Lake Buena Vista,"This resort is absolutely gorgeous! It is much more relaxing and slower paced than other Disney resorts. The decor is marvelous and I can't say enough good things about the amenities, from the pool (and slide for my grandson!) to the community room, to the...","May 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Simply Wonderful!!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",150,Lake Buena Vista,"Very relaxed atmosphere. Disney Quality is always top notch. We like this resort because no building is more than 3 stories high, spaced in clusters of neighborhoods with the golf course running through it. No highrise ""apartment"" type rooms here. Large and airy. The buildings...","June 4, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",We love this place,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",97,Lake Buena Vista,"We just stayed here for 15 nights in mid-April through early-May and overall from start to end, out stay couldn't of been any better! When we checked in, Peggy at the front desk was super friendly and absolutely amazing! She surprised us with an upgrade...","May 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Home Away From Home!,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",87,Lake Buena Vista,"We have been coming here since 1992 and see a huge difference in the years. Units are well worn down with cabinets loose, paint peeling, and furniture stained. carpets have been replace with cheap laminate. kitchen well stocked. beds were comfy. staff barged in at...","June 25, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",OKW has seen better days,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",41,Lake Buena Vista,"Old Key West feels equivalent to a moderate resort, not a deluxe one. It's fine, but not great. On the positives, the Grand Villa was large and comfortably housed my family of three nuclear units (my parents, my brother's family and I). The unit was...","April 23, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Off the beaten path-for good and for bad,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",8,Lake Buena Vista,"We first stayed at Old Key West 25 years ago. We bought a DVC(Disney Vacation Club) membership and this was the only resort that was available. Now there are many more options for DVC stays, but Old Key West will always feel like home to...","May 17, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Feels like home: Such a great place to stay in Disney,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",5,Lake Buena Vista,Second time staying in this resort. Love the oversized rooms. Great location. Staff is of course top shelf Disney quality. Being a vacation club member has its perks. Transportation is easy to all parks. Definitely a high quality resort.,"May 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful World of Disney ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",5,Lake Buena Vista,Stayed a week at this resort and had a great time. Rooms were very spacious (we stayed in a two bedroom villa with a family of six.) Comfortable beds and lots of bathroom space - rooms are designed with two sink areas per bathroom which...,"May 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Old Key West,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",19,Lake Buena Vista,"After taking my retirement we decided to take are daughters and one of their boyfriends. We arrived at the villa, which was a 2 bedroomed villa with pullout couches to sleep up to 8 all together. The master bedroom had a very large king size...","May 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Family holiday,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",9,Lake Buena Vista,"We stayed here for two weeks at the beginning of May. We were in a studio which had two double beds, a small kitchen area and bathroom. Our balcony overlooked part of the golf course and a lake with a fountain. It was a lovely...","June 4, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Beautiful resort with the units built around a golf course with lakes, fountains and a river.",3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",12,Lake Buena Vista,"We stayed in a 2 room villa on the first floor. Very nice, roomy, parking was close.The place is beautiful with great pools and play grounds. Unless you are a vacation club member don't expect to stay near the hospitality house, they are for members...","June 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",We Enjoyed Our Stay Here.,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",71,Lake Buena Vista,"This is a pleasant hotel but it is not a remarkable hotel. I understand that the theme is based on old key west but the rooms are dated and require a bit of modernising.
We had booked a disabled room. My husband is extremely disabled....","June 2, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",A pleasant stay but the hotel is a bit dated ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",15,Lake Buena Vista,The resort was nice and people were friendly. The only problem I had was my room was on second floor and no elevator to go up and down. I can do it but I have a problem once in while with my feet and legs...,"May 31, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Vacation ,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",24,Lake Buena Vista,"We stayed in the 1 bedroom accessible villa in ""South Point"". The bus stop was very close and there was a pool area near our location - although the larger central pool is the one to utilize for the unique design. One thing that really...","May 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Plenty of space for a family to stretch out and the pool area is fabulous,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",43,Lake Buena Vista,"we booked over 9 months ago and still got 2 poor rooms at the end of a block I got one end my son got the other all we had all night was the air conditioning humming and banging for 10 nights.
ask to change...","May 4, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Watch your Bill,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",9,Lake Buena Vista,"We've been DVC members since 1993, when this was referred to as Disney Vacation Club Conch Flats. We enjoy the laid backness of the resort and were saddened to hear that our favorite bartender Joe from The Gurgling Suitcase is no longer there. The main...","June 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Our Home Resort,3.5 Star Hotel
1510 North Cove Road,Disney's Old Key West Resort,"Orlando, FL 32830-8421",1,Lake Buena Vista,"Wonderful, quiet stay for our first WDW vacation! Quiet resort with several pools and food options. Bus transportation available to all parks and Disney Springs. Boat/ferry also transports to Disney Springs. 1-BR was very spacious for our family (5). Full-size kitchen appliances and washer/dryer inside...","June 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Accommodations at Disney's Old Key West ,3.5 Star Hotel
