Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",21,Lake Buena Vista,DVC members and first visit to Tree Top Villas. Our stay was excellent. Kids loved it! The decor is older and a little tired but all part of the rustic vibe. The mattress in the master was pretty awful though. Would have to quantify that...,"March 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Experience!,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",10,Lake Buena Vista,"We enjoyed our trade in to this Disney Property! We nice amenities, things to do such as gym, spa, various activities free of charge such as tennis, basketball, pool, campfires, marsh mellows and movie nights all feee of charge for being on property, beautiful grounds...","March 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great place to stay! Family friendly but not overwhelming if a couple! ,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",10,Lake Buena Vista,"The Treehouses at Saratoga Springs are expensive but well worth the splurge - we had an amazing time! We has three adults and three kids (11, 10 and 9) and were more than comfortable.
Some reviews have mentioned the décor is dark, which it does...","March 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The Treehouse is AMAZING,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",12,Lake Buena Vista,"We have stayed at several Disney resorts and this was our first visit to Saratoga. Our first impression was disappointment, the room was dusty and the bathroom was not very clean. Some clothing from the previous guest were in our wardrobe. I had to clean...","March 27, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Mixed review,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",12,Lake Buena Vista,"The rooms and kitchen were nice. Plenty of space to spread out. The bathrooms are starting to show age and need work. The resort has an adults only pool with a spa, which was nice in the evening. Great to be on property for Food...","March 22, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice rooms,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",10,Lake Buena Vista,"Stayed here many a time. Last was December 2016. Now that Disney springs is up and running this is a great location. Depending on where you stay it's a ten minute walk or less, depending on how leisurely you go, to the Springs. We had...","April 9, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Close to all the action ,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",49,Lake Buena Vista,We stayed at Saratoga Springs last month for 3 nights following a 5 night stay at Old Key West. We were expecting Saratoga to feel shiny and new compared to Old Key West and were disappointed. The room was significantly smaller and smelled extremely musty....,"April 1, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Average stay - not impressed,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",49,Lake Buena Vista,My husband and I are DVC members and we had points that were going to expire. My girlfriends and I decided that we would go on a girls only trip to Disney over spring break and use up our remaining points. We stayed at Saratoga...,"March 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Resort!,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",47,Lake Buena Vista,Our family group of 4 stayed at Saratoga Springs in a 2 bedroom room and really enjoyed the property. It is located about 45 minutes from the Airport and on the Disney Magical Express route. We loved the room and provided much more space then...,"March 17, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Space,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",150,Lake Buena Vista,"I am lucky to have stayed in most Disney properties in Florida. Here's my overview of the pros and cons of Saratoga Springs with a few comparisons thrown in.
Pros:
-excellent proximity to Disney Springs (bus & boat transportation available, and you can walk it...","April 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nearly the full Disney package,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",32,Lake Buena Vista,Just a boring expensive Disney resort. Starting to show some age. We recently stayed on DVC points in a 2br villa for a week. The electronics are dated. The tvs didn't work incredibly well and a drawer fell apart in the kitchen. The least special...,"April 5, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",50 shades of beige,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",80,Lake Buena Vista,We stayed here over March Break and everything was fantastic! It was our first stay in the Grandstand area -- we have previously stayed in the Springs and Paddock areas and thought that they were the best -- but we now realize that the Grandstand...,"March 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Another Fabulous Visit,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",15,Lake Buena Vista,"There are several sections within Saratoga Springs. We stayed in Congress Park. This part is close to the Disney Springs (shopping, food) bridge. It's almost a half mile walk to the cafe and restaurant in Saratoga Springs. Parking here was easy, plenty of spaces. We...","March 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Congress Park & comparison to Old Key West,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",24,Lake Buena Vista,In our 12th year of Disney Vacation Club membership with Saratoga Springs as our home resort. My family and I have stayed here maybe 6 times and just completed a stay. The rooms are definitely showing their age. Tears in draperies and worn furniture was...,"March 21, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Showing its Age,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",44,Lake Buena Vista,Property is well maintained and very clean. Rooms have been kept up to date and are comfortable. Staff is very friendly and helpful. Pool in our area was open 24/7 which was nice for a late night dip in the hot tub. Well worth the...,"March 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Relaxing stay,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",198,Lake Buena Vista,My wife and I have stayed here maybe 10 times but always in a one bedroom. This time we are in a studio and it is a big let down. We are in Congress Park which has a great view and is convenient to Disney...,"March 20, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Studio room a let diwn,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",6,Lake Buena Vista,"We did not have to pay for our room, as our friends have timesharing. However the prices at Disney are outrageous!
Four slices of pizza and Two cokes were $42.00!!!!!!! To go into Epcot cost, for the two of us, $238. I must be getting...","April 8, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Expensive!,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",93,Lake Buena Vista,"We've stayed at Saratoga Springs a few times now, and we've never been disappointed. The resort is located within walking distance of Disney Springs (formerly Downtown Disney), which is a great perk. You can also take the boat, or catch one of the many busses...","April 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney's Saratoga Springs Doesn't Disappoint,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",26,Lake Buena Vista,"We come to Disney World twice a year and always stay in one of the DVC Villa Resorts. Saratoga Springs is just too big. We got stuck in the farthest building in the Carousel section overlooking the road and front gate. Not only that, but...","April 1, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Do not stay in Carousel Section,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",32,Lake Buena Vista,The location of the resort is excellent. It is walking distance from Disney Springs and offers shuttles to all of the parks at a regular basis. We never had to wait more than a few minutes for a shuttle. This was our first time staying...,"April 1, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate","I expected better from Disney, but it's not bad",4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",11,Lake Buena Vista,"Saratoga Springs is a lovely DVC resort but my husband and I were a little disappointed in how early the poolside grills and bars shut down. We got back to the resort one night, around 9, and were looking forward to having a small bite...","March 31, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Nice but not great,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",4,Lake Buena Vista,Not at all what I expected. Not very clean. Stayed at Grandstand. The hot tub was disgusting. Very disappointed in the cleanliness of room and pool area. Bartender not friendly. The housekeeping staff seemed to never acknowledge and always be on their cell phones. The...,"April 11, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Ms,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",3,Lake Buena Vista,"The hotel is beautiful and large. There are buses to all the Disney Parks that come and go all day. The hotel is large so there is some walking involved, but the rooms are big and comfy. The beds also were very comfortable. Staff is...","April 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The hotel was wonderful - a short boat trip to Disney Springs,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",8,Lake Buena Vista,"We had a 3-bedroom Treehouse Villa that was supposed to sleep 9. Two of our party backed out at the last minute, which is a good thing because we were crowded at 7 with a party of my husband and me, adult daughter and her...","April 23, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Beautiful villa but inconvenient transporation arrangement,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",7,Lake Buena Vista,"We went there with three young kids and grand parents and the Tree House Villas in October were really nice. No issues with mosquitoes, and the Villa was very private on a golf course. We didn't hear any noise at all, sometimes there was an...","April 5, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Tree House Villas,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",18,Lake Buena Vista,"We've stayed several times at Saratoga Springs over the last ten years because it is our ""home resort"" for Disney Vacation Club. We enjoy staying here because it's peaceful and really feels like you're at a quiet golf resort. If you want to feel like...","April 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Lovely resort but guest rooms/suites in need of updates,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",9,Lake Buena Vista,"We've stayed at Disney's Saratoga Springs many times, and each time we experience something different. There are many sections of this sprawling property to stay depending on if you want to be near pools, bus stops, Disney Springs or the main gate. The Treehouse villas...","May 10, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Race to Disney's Saratoga Springs!,4.0 Star Hotel
1960 Broadway,Disney's Saratoga Springs Resort & Spa,"Orlando, FL 32830-8446",27,Lake Buena Vista,"Disney Springs is walking distance, or take the boat or bus over. Lots of great restaurants and stores. Ice creams shops, Places to grab a drink and entertainment. This is where you want to stay at night. The real fun starts here!","March 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best place to stay for adults.,4.0 Star Hotel
