Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",7,Lake Buena Vista,"This was our 2nd time in 2 years staying here. Unlike last time we stayed in a Preferred Building (#15). Definitely worth it if you want to be close to the main pool and especially the food court. HOWEVER, it's the last out of 4...","July 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",More like a 4.25 out of 5,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",3,Lake Buena Vista,It's Disney so you have to expect the place will be great and it was. The kids loved going in the main pool and some of the quieter smalls pools offered throughout the resort. There are 4 bus stops at the resort which can be...,"July 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Nice resort but a bit spread out,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",14,Lake Buena Vista,"We stayed here for two weeks in April and I loved this resort (adult couple, no kids). We got to stay in both the Alligator Bayou and Magnolia Bend rooms due to an initial mix up with our room request (not Disney's fault). Personally I...","July 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Alligator Bayou and Magnolia Bend,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",16,Lake Buena Vista,When looking at family vacation destinations this year we looked at many different options for our family of 5. Even though our family has been to Disneyland in Anaheim and Disneyland in Paris in the past this was my first trip to Walt Disney World...,"June 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Hotel for a family of 5,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",5,Lake Buena Vista,"The hotel was beautiful. The grounds were lovely. You do not realize how big the property is until you go for walks. The room was quiet, and we got a needed rest even while we exhausted ourself at the parks during the days.","July 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Enjoyable stay,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",1,Lake Buena Vista,"My family just enjoyed a 2-night stay at the Port Orleans Riverside at Disney which was wonderful. This was our first park-free stay on Disney property, so we were eager to make the most of our time at the resort. We were NOT disappointed. We...","July 18, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Park-free Disney resort magic!,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",34,Lake Buena Vista,"Way to go Disney. What a first class moderate resort! Honestly, this is among my favorites in all of Disney. The ambiance here is terrific. The gardens, the layout, the Ol Man River pool was great. I will be back here soon. Great job Disney-...","July 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney has done it again!,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",3,Lake Buena Vista,"The ""Royal Guest Rooms"" at this resort are amazing and worth every penny for a special trip with your little princess. Our 4 year old granddaughter thought she was one of the Disney Princesses in this very regal room. Beautifully decorated with headboards that have...","July 12, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Every Little Girl's Dream!,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",3,Lake Buena Vista,My daughter and I stayed one night at Port Orleans Riverside before taking shuttle to catch the Disney Dream . The room was amazing but the check in service was the worst ! I never expected such bad customer service at the check in and...,"July 5, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",The customer service was not magical at all !,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",25,Lake Buena Vista,"My stay here was July 2017..Love the location...Comfortable beds and pillows...Housekeeping could not be more kind...Pools are well located and clean...Laundry facilities well located if you need to use them...And the food there is very good, there were 6 in our party and we tried...","July 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Love staying at this resort.,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",2,Lake Buena Vista,"To celebrate my Granddaughters high school grad, 6 family members (all adults) stayed in Disney's Port Orleans Resort - Riverside for 3 nights recently. We had 3 rooms so as not to be crowded, although each had 2 comfortable queen size beds. Had there been...","July 10, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Adult Family Disney Vacation 2017,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",10,Lake Buena Vista,"The location is perfect, the staff is amazing and the options are endless from there to get anywhere. I had a room facing the water and it was quiet, beyond comfortable and just right for our needs. The pool is fantastic and morning breakfast routine...","June 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Perfect Family Friendly Hotel,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",9,Lake Buena Vista,"We stayed at the Animal Kingdom Resort, and it was great. For our last day, we had to move to Port Orleans. It was not nearly as good. It has a fairly neat set-up on the river, but the rooms are average, the check-in was...","July 12, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Meh.,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",7,Lake Buena Vista,"We absolutely loved our time at Disney's Port Orlean's Riverside! The rooms were large and comfortable. As are anything Disney, the property was immaculate, the beds were comfy, the pools were open late, and the walk ways and paths to wander were beautiful. the staff...","July 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Spectacular!,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",24,Lake Buena Vista,"We booked this resort not knowing what to expect. What a shock we had when we walked on to the property - this was so spectacular. Beautiful wooded walkways, paved paths, river walk area that made you feel like you were really in some wonderful...","July 17, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",True Old Southern Plantation style,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",36,Lake Buena Vista,"We stayed in the Port Orleans last October (during hurricane Matthew). The hotel was good, I just think we had been spoilt the week before as had stayed in the Polynesian so hard to rate without comparing (which isn't really fair as one considerable more...","July 14, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Midnight wake up calls!,3.5 Star Hotel
1251 Riverside Drive,Disney's Port Orleans Resort - Riverside,"Orlando, FL 32830-8514",45,Lake Buena Vista,"We stayed as a family of thirteen at the end of May. Loved our Royal rooms and the convenient connecting doors. There were stairs but also a lift.
Found the transport links to be fine and as expected. In particular loved the riverboat ferry up...","July 12, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Pretty hotel & grounds,3.5 Star Hotel
