Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",5,Lake Buena Vista,"Stay a week with my sons family eight of us and all of us stayed in the Polynesian Bora Bora bungalows.
The bungalows hold up to 10 people. Two separate bedrooms with full bathrooms. Large family room with open kitchen. Absolutely awesome. Over the water...","May 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney Polynesian bungalows,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",4,Lake Buena Vista,"We are DVC Members and this was our 1st stay at the Polynesian. Unfortunately, due to the amount of noise, I would not return. We had a lake view studio in the Moorea building. We had to listen to the fog horns from the ferry...","May 16, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Too Noisy ,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",6,Lake Buena Vista,"First time staying at this Disney resort, and overall it did not disappoint. There was a bit of a snafu with check in, as our room was not ready at check in time, and it wasn't until well over an hour (and after 5:30) that...","May 15, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Great resort, but here are some pointers",4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",6,Lake Buena Vista,The Polynesian Resort was absolutely amazing for our visit in of May 2017 for my husbands college graduation. We stayed for 6 days/5 nights. The Cast member Sabra was absolutely awesome and helped make our stay incredible. Lynnette helped with a wonderful/incredible surprise for my...,"May 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Resort!-Aloha ,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",3,Lake Buena Vista,This hotel is stunning! We normally stay at deluxe resorts on property but for whatever reason never got around to staying at this one. The Contemporary has such a convenient location to the Magic Kingdom that we almost always stay there. We stayed in one...,"June 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",My new favorite Disney Resort!,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",4,Lake Buena Vista,"Great location, great location, great location. Being able to walk to transportation center is very underrated. Non-stop to Epcot. Multiple quick options to get to Magic Kingdom (boat, monorail). More importantly, after a hectic crazy crowd experience at one of the parks, nothing beats walking...","May 18, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Will not stay anywhere else,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",57,Lake Buena Vista,"Polynesian Villas were the only DVC Resort in WDW we hadn' t stayed, so we were very excited when we booked them for our Winter 2017 trip. We had eaten at this resort many times over the years and we always liked the feel of...","May 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Near the top of our Favorite DVC Resorts List,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",14,Lake Buena Vista,"This is a wonderful hotel. Unlike at the Grand Floridian, we did not feel uncomfortable or or of place here. It's beautiful, classic, and true Disney. Monorail is great as well as the boat transportation.","May 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Great, Classic Disney",4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",14,Lake Buena Vista,"The Polynesian is one of our favorite resorts. It has a low key feel other resorts do not have. The reason I give it 3 stars is because unless you book dining reservations on site months in advance, you'll have a hard time eating anything...","May 14, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Loved the resort,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",34,Lake Buena Vista,"Recently stayed here. Stayed 10 years ago and it was great, loved it. Recently we stayed in unit far from lobby, in Aotearoa buliding. Room was expensive, which is fine, however, lousy room. Not even close to Disney standards. After 30 years of great experiences,...","May 14, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Not up to Disney Standards,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",87,Lake Buena Vista,I'll start by saying that staying at the Polynesian has been a dream of mine since my first visit to Walt Disney World in 1994. We are fortunate enough to be DVC members now and had our first visit to the much anticipated Polynesian. To...,"May 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",A dream come true!,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",85,Lake Buena Vista,"Spacious rooms; lush & comfortable! So much to do & see without even leaving the resort! Meals were entertaining & delicious. Boating , swimming, movies, Luau, the white sandy beach, bike rentals, & a whole lot more! Booked another stay already!","June 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Hawaiian Feel in Florida,4.0 Star Hotel
1600 Seven Seas Drive,Disney's Polynesian Village Resort,"Orlando, FL 32830-8423",41,Lake Buena Vista,We bought into the DVC last year and have planned this trip for over a year and it has been the only thing we almost talk about. Then the time came and when we got there and into our room and noticed dust an inch...,"June 6, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Our First DVC stay at the Poly. Deluxe resort turns value resort!,4.0 Star Hotel
