Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",32,Lake Buena Vista,Lets start with the positive. There is only one resort in the entire Walt Disney World complex that allows you to walk to and from the Magic Kingdom. This is it. We chose it for the location. At the end of a long day in...,"April 25, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Garden Wing Room,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",20,Lake Buena Vista,"I've been visiting Disney World for many years and I almost always stay on site for convenience. Last year, we decided to stay at the Contemporary for the first time and it was great. We decided we would book it again this year. Well, we...","April 24, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Disappointing...,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",12,Lake Buena Vista,Booked a room over 3 months in advance. When we showed up we were told they overbooked and could not honor reservation. If you want to be stuck in florida without a place to stay book here! The worst part is the manager seemed like...,"April 23, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",The unmagical kingdom,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",6,Lake Buena Vista,"We enjoyed our stay at the Contemporary. Room was nice, not many Disney touches you'd see at the Value hotels, more refined. The access to the monorail was great, the only downfall was having to wait in line to get through the metal detector/bag checking...","April 23, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice Visit,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",1,Lake Buena Vista,"First time staying, great location, 10th floor opposite the Chef Mickey area, place was packed, but still had a great time, would we do it again, no, staff was nice, clean, view of fireworks, priceless, however I would stay elsewhere. ...love disney","April 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",It is what it is Location ,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",52,Lake Buena Vista,"We were hot & tired from Magic Kingdom but want to stay for the fireworks. I've never been here / monorail through only.
Wish I would've come sooner. It's the closest location for a soft comfy chair, air conditioning, a cocktail & dinner where you...","April 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Get out of MK & mid-day break here,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",29,Lake Buena Vista,"My family and I have travelled to Disney many times, and we have stayed at resorts at every price point. I have always been a firm fan of the moderate resorts, having also stayed at the Grand Floridian; now I am a convert. The Contemporary...","April 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Resort Experience at Disney,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",30,Lake Buena Vista,"Just got back from two nights staying magic kingdom view club level at the Contemporary Resort! Our trip was great! We were allowed early check in, so our room was ready by noon Sunday. The breakfast, snacks, and appetizer were amazing! So we're the desserts....","April 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Engagement Trip,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",22,Lake Buena Vista,"Stayed here 2nd week of May. Had a blast. Breakfast at The Wave was phenomenal! Room in Garden Wing was gorgeous! Staff was very friendly and accomodating. It's pricier than comparable hotels off property, but you can't beat the location - walking disntance to Magic...","May 15, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Fantastic Resort, Great Location",4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",38,Lake Buena Vista,"First time staying in a deluxe DW resort and we made the right choice. Not only is the hotel on the Magic Kingdom Monorail line, it's a short 10 minute walk by foot to main gate of MK. Be aware that the Monorail-MK loop begins...","May 9, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Convenient and Classic,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",20,Lake Buena Vista,"We stayed here in May for two weeks from the uk, we had a garden room not in main building which was perfect plenty of parking , we had a really large room with two large queen bed a very large tv , with seating...","May 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Two week stay very good,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",43,Lake Buena Vista,"The rooms have been upgraded and are lovely. super comfy beds, pillow,sheets. Nice bathroom, towels, products too. We overlooked the lake and it was quiet and serene. Also get to see the barges with the parade go by at night which was fun. Being on...","May 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Expensive but worth it,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",26,Lake Buena Vista,"I had made a reservation for a room at the more modestly priced Garden Wing of the Disney Contemporary Resort, but for whatever reason Disney decided to give me a free upgrade to their main building (the one where the Disney Monorail travels through the...","May 20, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Unexpectedly very pleased with a 46-year old resort hotel,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",51,Lake Buena Vista,"With a seventh floor room facing the Castle, we watched evening fireworks from our room. The hotel has several restaurants including character breakfasts which make your visit special. Busy but friendly.","May 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Centrally located, great rooms, several restaurants and on the Monorail.",4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",6,Lake Buena Vista,"The Contemporary was one of the first hotels opened in Disney World in 1971. Two monorail lines have a stop inside the A frame hotel. It is extremely convenient for getting to the Magic Kingdom, not only on the monorail, but also walking (both take...","May 7, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",An Original Disney World Hotel,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",9,Lake Buena Vista,"Very clean, friendly staff, the rooms are spacious. We love the convenience of the monorail. The waves have a breakfast buffet to die for at a decent price. 5 minutes walk to magic kingdom is the fastest way to this park. Although this hotel has...","April 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great!,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",83,Lake Buena Vista,"Stayed at the contemporary for a business meeting then had family join me. Being a Disney hotel, it was great with service and closeness and convenience of park/monorail. Personally prefer Polynesian, Grand Floridian due to overall surroundings of hotel property.","April 26, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",1,Lake Buena Vista,We stayed for 6 days in The Contemporary on the 7th floor facing Bay Lake. The room was VERY clean & comfortable. Housekeeping was amazing! The view was beautiful and relaxing; the beds comfortable. You can't beat the location with the monorail or the 10...,"May 14, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Would recommend!,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",12,Lake Buena Vista,"My daughter and I just returned from a stay at this Disney hotel. To preface the review, I think it is important to know we did not have a car, but solely relied on Disney Transportation to get us everywhere, including to and from the...","May 14, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Mixed emotions....to love or to leave this hotel?,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",28,Lake Buena Vista,I've reviewed this hotel before but needed to give a shout out to two employees who made this trip so incredibly memorable for our 10th anniversary. They are the reason that we keep coming back to the Contemporary and why we continue to stay on...,"May 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Forever My Favorite,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",22,Lake Buena Vista,"I received an alert that our room was ready and we were able to skip check-in and go directly to our rooms using our Magic bands for entry. Pay a little less and get the Bay Lake side, it is quieter and you can go...","May 10, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Worth it,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",19,Lake Buena Vista,"Stayed here for 5 days with whole family of 9, booked 3 rooms with a theme park view. Rooms were very comfortable and clean. Service was excellent from the time we arrived, with baggage service delivered to our rooms directly from the airport. Ditto upon...","May 9, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",The place to stay,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",3,Lake Buena Vista,"We had two shirts hanging on the hook, and housekeeping took them. There was no towel on there. So not sure why it was taken, shouldn't have been taken even if there was a towel since it's used for reusing your towel anyways. They took...","May 8, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Don't hang your clothes on the hook in the bathroom!!!,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",12,Lake Buena Vista,"We stayed at Disney's Contemporary Resort for 3 nights during the first week in May.
I used the online check-in option on the Disney App. It worked great. We arrived early and were given our magic bands without delay. The room was ready to go,...","May 7, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Kind of a let down,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",49,Lake Buena Vista,"This resort hotel is the closest to the Magic Kingdom, so one of the biggest perks is that you can walk (about 10 minutes), and it has its own security checkpoint. This was definitely a huge plus for us, although taking the Monorail back from...","May 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very convenient to Magic Kingdom; great views from the Tower-theme park rooms,4.0 Star Hotel
4600 North World Drive,Disney's Contemporary Resort,"Orlando, FL 32830-8413",30,Lake Buena Vista,"I stayed her for three nights earlier this month on a solo trip. I had a garden wing room that faced the lake, so I had a lovely view, but I guess you can't count on a lake view. My room was large and clean...","May 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great location!,4.0 Star Hotel
