Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",214,Lake Buena Vista,"We are DVC members and this is our home resort. We have been here several times since 2005 and the rooms don't seem to have been updated at all. The furniture, rugs, appliances, etc. show their age. For the price, it is definitely not as...","June 9, 2014","ui_bubble_rating bubble_40,ratingDate relativeDate","Great location and pool, but time for a face lift",4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",15,Lake Buena Vista,"If you love Epcot, MGM, and the Boardwalk, then this resort is for you! We stayed in January 2014. It was so easy to go to Epcot you can really walk there and enter through a different entrance that is on the other side of...","June 5, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Location!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",17,Lake Buena Vista,"The Beach Club Villas, as others have pointed out, are smaller than Old Key West, but all other villas are smaller than Old Key West. Beach Club has many other pluses that give a a five star rating in my book. The staff is wonderful....","June 5, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate","Perfect location, perfect ambiance, perfect pool!",4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",5,Lake Buena Vista,"We loved the Beach Club Villas! Perfect location to Epcot, a 3 minute walk and a quick, fun boat ride to Hollywood Studios. Storm A Long Bay is the best pool (s) of all the Disney hotels...a lazy river too! At night all the hotels...","June 4, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",A memorable family vacation!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",183,Lake Buena Vista,"The Beach Club Villas deserve 3.5 stars but certainly not four. For a vacation villa, these units are average.
On the plus side, they are clean, bright and well maintained. Staff are friendly and helpful. The location is excellent - easy walk to Epcot and...","May 29, 2014","ui_bubble_rating bubble_30,ratingDate relativeDate",3.5 stars,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",151,Lake Buena Vista,"We are DVC members who were doing a split reservation for our week at Disney. We are fairly new members and were trying to sample the different hotels to see where we would prefer to visit next time. And when I say new members, I...","June 25, 2014","ui_bubble_rating bubble_30,ratingDate relativeDate",Not as great as I wanted it to be,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",4,Lake Buena Vista,Our first family vacation to WDW. We stayed at the Beach Club Villas for 8 days/7 nights in June. The BCV is so beautiful. Our room was spacious and clean. The staff was friendly and helpful. Glad we chose the Meal Plan because there was...,"August 13, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Time!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",18,Lake Buena Vista,We stayed at the Beach Club Villas the last week of May and we absolutely loved it!! We had a one bedroom villa overlooking the quiet pool. There were 4 of us and there was plenty of room. The place was clean and comfortable and...,"July 22, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",1st time's a charm!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",25,Lake Buena Vista,"We've stayed at the Beach Club Villas 4 times in as many years, always in a one bedroom villa, with our last visit being an 8 day stay in August 2014. We absolutely love the theme of the resort as well as the amenities and...","August 31, 2014","ui_bubble_rating bubble_30,ratingDate relativeDate",Beautiful resort but in desperate need of renovation!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",16,Lake Buena Vista,We stayed there for 4 night in June 2014 in a deluxe studio. The room was wheelchair accessible so the bathroom was very large but there was limited shelf space in the room. The room it's self had limited storage for 3 people. It was...,"June 17, 2014","ui_bubble_rating bubble_40,ratingDate relativeDate",Great location,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",21,Lake Buena Vista,"If your planning to spend time at EPCOT or if you like lounging by the pool, this is a top choice! The pool includes a pirate ship slide, sinking sands, and a lazy river. You will also be able to walk to the International Gate...","June 16, 2014","ui_bubble_rating bubble_40,ratingDate relativeDate",Convenient location,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",32,Lake Buena Vista,"Stayed here 3 nights in May 2014. Villa included kitchen and living room area. Nice space when you have kids. Bathroom was a little strange - 2 separate sinks which was nice, but shower and toilet were in the same area with one door, and...","June 14, 2014","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Disney Hotel,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",8,Lake Buena Vista,"We stayed at this hotel during Memorial Day weekend in a 2 bedroom villa. The villa are nice in size and had plenty of room for the 5 of us (4 adults, 1 child). The hotel is right next to the Boardwalk and Epcot which...","June 13, 2014","ui_bubble_rating bubble_40,ratingDate relativeDate",Terrific Disney Hotel,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",4,Lake Buena Vista,We stayed at the Beach Club Villas for the second time recently and had a wonderful stay. The rooms are clean and well maintained. This stay had us on the ground level by the quiet pool. There were times when it was not very quiet...,"August 13, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful time!,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",12,Lake Buena Vista,This was our 4th consecutive year staying at Disney Beach Club Villa. We are not in the DVC but come down for a week from Massachusetts every July. Like some of the other reviews we got a handicap room but it was fine. Just bring...,"July 20, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney Beach Club Villas - Best. Vacation. Ever.,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",69,Lake Buena Vista,"We really loved the Beach Club Villas. They were perfect!
Room: The one bedroom suite was perfect for our family of for. The big bathroom with the large tub and separate shower was great. We loved having the deck off of the master bedroom and...","July 10, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Loved the Beach Club Villas,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",118,Lake Buena Vista,"We've stayed previously at BC resort and decided to try BC villas this time.
The room is great, we stayed in a studio, with queen bed and pull over sofa. Perfect for a family of 3 or 4. The small kitchenete with microwave is a...","July 3, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Best pool ever ,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",7,Lake Buena Vista,"We are fairly new DVC members and this was our first chance to stay at the Beach Club Villas. We were originally given a wheelchair accessible room, which has no shelf space in the bathroom, but once we contacted the front desk, they relocated us...","June 28, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful Experience,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",104,Lake Buena Vista,"Make sure you know just how spread out ""Walt Disney World"" is before you go so you can plan accordingly. We liked our hotel - it was pretty, comfortable, decorated nicely and staffed with people clearly going out of their way to be welcoming ---...","August 29, 2014","ui_bubble_rating bubble_30,ratingDate relativeDate",Expensive but special.,4.0 Star Hotel
1800 Epcot Resorts Blvd,Disney's Beach Club Villas,"Orlando, FL 32830-8443",4,Lake Buena Vista,"Been here more than once. Loved the place. Smelled great, huge shop,big rooms and comfortable. Very clean . The only con of this hotel is that it is too cold in the summer. Other than that, I loved it. The pool is neat with the...","August 22, 2014","ui_bubble_rating bubble_50,ratingDate relativeDate",Excellent ,4.0 Star Hotel
