Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",150,Lake Buena Vista,We were traveling with family that stayed here. The room was reasonably priced but had a strong smell of mildew. The room was small but the grounds were nice. If there was no moldy smell this could be a nice place to stay.,"May 29, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Strong Smell of Mildew,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",17,Lake Buena Vista,"First off if you are staying here simply based on price this is the cheapest Disney hotel. However, it's very loud and always full of school groups who have little or no adult supervision. The rooms are very basic with only double beds (not queens)....","May 29, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Get what you pay for with this one,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",2,Lake Buena Vista,"It's clean, well maintained, and most of the staff is friendly, but it's not on par with every other Disney property we've stayed at in the past. Let's start with check-in/out... understaffed and slow! Disney - please don't waste my magical time waiting in yet...","May 29, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Budget Property,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",9,Lake Buena Vista,We wanted to take a Disney Vacation and stay at one of the resorts. (Mostly for onsite transportation and magic hours). We chose the All Star Sports because of the price but also it's location to all the parks and other local entertainment in Orlando....,"May 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney is awesome as usual,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",1,Lake Buena Vista,"We totally enjoyed our recent stay at this resort. Very nice staff. Great location.
Even with a lot of ppl there we still had quiet time in the evening. Great breakfast.
Transportation great. We got to rest,but also had a great time to visit with...","May 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Grand kids rock,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",3,Lake Buena Vista,Looking for a great location to take your family on a vacation? Look no further than Disneys All Srar Reaort in Orlando. I know when planning a family vacation that cost - amenities - convenience all come into play. This resort will cross all of...,"May 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Family Destination,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",1,Lake Buena Vista,"We stayed at the All Star Sports Resort and stayed in the American Football part.
All themed areas were pretty near to the main diner area and bus stop, walking for only a few minutes anywhere really.
The Sports is part of the Music/Movies themed...","June 12, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Great, easy, well positioned, fun place to stay",3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",3,Lake Buena Vista,"I recently stayed at the Disney All-Star Sports Resort for a short Disney trip and it was great and located in a great location.
We were checked it by Maria (around 11am) and she was very lovely. I work in the hospitality industry and am...","May 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Stay With Awesome Amenities! ,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",1,Lake Buena Vista,We stayed recently for a competition cheer event (The Summit). It wasn't terrible and met our needs. The pool was great except it had A LOT of chlorine in it...but based on the type of hotel...i guess it's needed. The food in the food court...,"May 16, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Competition stay,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",48,Lake Buena Vista,"After years of visiting the other two All Star resorts, we finally made it to Sports. This did not disappoint. In continuing with the All Stars theme, everything was oversized and each building was themed with a different sport.
We stayed during the recent runDisney...","May 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney Experience at Every Turn,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",4,Lake Buena Vista,"Great hotel that never disappoints.
Stayed here for Star Wars Dark Side Half marathon.
Staff were very helpful with our booking and provide the Disney service I remember.
The hotel was busy later in our stay due to a dance and cheer leading competition being...","May 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The place to Stay for WDW,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",32,Lake Buena Vista,"Others have stated that this is a ""value resort"".
The Good:
a) Hotel is a Disney property so you get Disney benefits (wristband and shuttles)
b) Disney's shuttle system is very convenient
c) Hotel has basic facilities - room, pool
The Bad:
a) The rooms...","May 15, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Make sure you go in eyes wide open!,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",3,Lake Buena Vista,"Took 30 minutes to check in, but that's because we came in during a rush. Went to the first room that smelled like mildew, but we were immediately moved and had a manager at our door to move us within 15 minutes. Payed for a...","May 22, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",You get what you pay for,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",60,Lake Buena Vista,"This was the first of the All Star resorts I have stayed in. The theme is fun for a sports fan. I was excited to stay in the football section which is my favorite sport. If the three resorts are sharing buses, this is the...","May 21, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice resort,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",19,Lake Buena Vista,"I was very dissapointed with the hotal as a whole. Stayed here with my partner and 11 yr old child. We also stayed at Cabana Bay - Universl Studios which was so much better.
The resort as a whole is aging badly. It needs an...","June 11, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Average hotel with woeful staff,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",3,Lake Buena Vista,Rooms were small and air conditioner didn't work well. Had to call to get it fixed. Rooms were older and had some stains on carpet. Unless you get preferred room beds are full size not queen. Refrigerators in all rooms no microwave. Pool was nice....,"June 11, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Disney All Star Sports Resort,3.0 Star Hotel
1701 West Buena Vista Drive,Disney's All-Star Sports Resort,"Orlando, FL 32830-8437",46,Lake Buena Vista,"Hi Guys,
After reading couple of bad reviews here before our trip, we were really worry about our hotel choice! However I am very pleased we chose All -Star Sports Resort as we have just came back after 14 days and had a fantastic time....","June 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Disney Holidays for first time!,3.0 Star Hotel
