Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",4,Lake Buena Vista,"Whenever I'm in Disney, I stay here. Free transportation in between the airport and the resort, and in between the resort and the parks. Great services. I stayed here for 5 nights, one day I went out for lunch, just half an hour, my room...","May 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Lovely as always,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",46,Lake Buena Vista,"We stayed here with our 2 sons, ages 5 and 8, May 20-25 and enjoyed our stay overall.
MAGIC EXPRESS: Smooth process! We were bummed we had a regular motor coach instead of one of the Magic Express buses because those buses show a welcome...","May 26, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Enjoyable stay,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",7,Lake Buena Vista,"Quiet resort. Value resort, so there are no bells or whistles. Basic room, average food court, basic pool.
Preferred room was not what I would call preferred. It was at the back of the resort on first floor. Was told that was preferred due to...","May 26, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Good value but not for those looking for something fancy,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",26,Lake Buena Vista,"This was the only ""Value"" Resort I stayed at as far as official Walt Disney World resorts are concerned, and although I would consider staying at another value property such as art of animation or pop century, I can pretty much tell you that I...","May 25, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Not worth it,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",33,Lake Buena Vista,I had requested a ground floor handicapped room but they tried to give me second floor. It was available later in the day so I told them I would wait. I was in the fantasia section which is preferred. I was in room 8718 which...,"May 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",disney all the way,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",19,Lake Buena Vista,"My family of four (Grandad, Grandmother, son, six year old grandson) stayed in two rooms in the Fantasia building from May28 to June 2. This would be my first trip to Disney World in about 15 years, when I took my kids. Now I'm taking...","June 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Not bad at all if you're happy with a basic small motel room,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",3,Lake Buena Vista,"Rooms were older, but accommodating. They were clean, and had all amenities such as ironing board, blow dryer. Very few plug ins, in a world of technology. So take a brick/outlet cover with extra outlets. 4 people w/luggage was a tight fit, but as everyone...","June 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Small rooms, but clean and front desk very helpful!",3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",5,Lake Buena Vista,"Not impressed with the room, I think it's over rated. Got few complains with the sheets. The room is quite old and need renovation. The outdoor is not bad but I'm expecting more with the rate they are offering.","June 29, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Very plain,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",262,Lake Buena Vista,"All Star hotels are small, economy hotel rooms that suffice for a couple, young couples with small children, or, as with this trip, my teenage son and me.
If you won't be spending much time at the resort, this functions. If you'll be spending more...","June 3, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Typical Economy Hotel - Disney Version,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",6,Lake Buena Vista,"I seriously loved staying here!!!! Everything was themed and adorable. Super kid friendly and clean. All the employees were nice and beyond helpful. They allowed us to check in early, which was so nice since we travelled all the way from Tennessee!! We are going...","June 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",LOVE!!,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",7,Lake Buena Vista,"The parks are very big and enjoyable. It takes a lot of time to come out of park , take a resort bus and come to hotel. If you plan to go back to the park, don't think of coming out.also I think no use...","June 20, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Dont come back in between and dont take park hopping ticket e ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",15,Lake Buena Vista,"I stayed here for a cheer competition, and we had to stay here. If you are wanting to save money....this is where you could definitely book. I am kind of a hotel snob...(just being honest) so I would not want to stay here unless I...","June 2, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",An Economy Hotel,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",17,Lake Buena Vista,"We've stayed in this hotel multiple times over the last ten years. It was updated not too long ago and is so much nicer than it used to be. Rooms are cleaner with updated bedding and lighting.
Our recent stay was great. Check in was...","June 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Fun Stay for the Kids,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",2,Lake Buena Vista,"Spent 2 days here before spending the rest of my vacation at Port Orleans Riverside. Because I knew what I was expecting, I had a pleasant stay. Beautiful grounds and great pool bar.
My son loved taking pictures all over the property and he enjoyed...","July 10, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Beautiful cheap hotel room.,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",2,Lake Buena Vista,Checking In: I stayed at the All Star Movies Resort from March 30-April 2nd with my best friend. I had requested a room in the Toy Story section and I was told they would do the best they could but couldn't guarantee. We arrived to...,"June 15, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Good for a Long Weekend,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",3,Lake Buena Vista,Staying within the Disney resort was great. The cost of the hotel itself was no more expensive than other hotels. It was so convenient. The recreation areas kept the kids busy when we weren't in the parks. Everything is linked so your hotel key (a...,"July 7, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great access and family fun ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",9,Lake Buena Vista,My family stayed at the All Star Movies resort in June 2017 after we visited Disney World. The hotel was clean and nice and I would definitely stay again. The location is great and you can catch a bus in front of the main entrance...,"June 28, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Nice hotel, great location!",3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",7,Lake Buena Vista,"First time staying in a value resort and there is a difference between moderate and value, which is mostly a few amenities, no kettle, no double sink, slightly smaller but it was still Disney high standard. Clean, comfortable, a good place to come back to...","June 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Comfortable, Clean and value for money",3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",95,Lake Buena Vista,"We got a great rate with our annual pass, since this is a value hotel to begin with then our discount we figured we would try it out for a weekend stay since it was so affordable. And it's really close to animal kingdom which...","June 3, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",A pleasant stay for a quick weekend disney getaway!,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",1,Lake Buena Vista,"Me and my family are the people who when on vacation we don't really relax especially when going to a park like walt disney world. We spend our money, we get up and in the park the earliest we can and leave the latest with...","June 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The magical stay at all star movie ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",4,Lake Buena Vista,"Very family friendly hotel. We loved the different themes throughout the hotel. There was a Toy Story section, Love Bug, The Mighty Ducks, Fantasia and 101 Dalmatians. The food court was good too, a variety of foods to choose from. There are 2 pools to...","June 10, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",WDW holiday ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",7,Lake Buena Vista,"We stayed in 100 Dalmatians building. Its in the middle of both pools and close to the food court. We used the Mighty Ducks pool more due to it being less busy. The only problem we had was at check in, Are flight got to...","June 9, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Family Vacation,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",3,Lake Buena Vista,Got to the All Star Music Resort around 845 AM to park and ride bus to the Magic Kingdom on 6/17/17. I was with my girlfriend and planned to get engaged at the castle. I checked in and let them know of the pending engagement...,"June 19, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Not pleased with engagement weekend,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",2,Lake Buena Vista,"I love this hotel. It is definitely just your standard type of hotel and is nothing fancy but it is extremely affordable and well-kept. They offer several options in the food court, have a gift shop, arcade, several pools, and transportation to and from the...","May 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Stayed here several times,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",4,Lake Buena Vista,"First off, We stayed due to my son birthday. Everything went well until my glasses came up missing on our last night from my room. I have vision problems to where I a almost blind. I wore contacts during the park and wore glasses when...","May 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Toy Story/ Night Manager/ Day Manager,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",114,Lake Buena Vista,"I was visiting Disney Parks for four days and as I liked to spend the most of the day in the parks, I just booked the hotel to sleep when we arrive (sometimes at 01:00 am) and sleep a couple of hour to arrive the...","May 30, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Cost effective but do not expect something fancy,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",3,Lake Buena Vista,"I booked this room knowing that it is a Value resort, so I had few expectations. The rooms were clean and in good shape, but small with no frills. I'd compare it to staying in a Holiday Inn Express or a Courtyard hotel. But honestly,...","May 27, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",A good bang for your buck!,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",23,Lake Buena Vista,"I much prefer staying at a moderate or deluxe resort because the rooms are significantly smaller, the resort is loud from kids and families, and the food court area is very crowded. We went on the free Quick Service Dining Plan and there was a...","June 25, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Definitely a Value but Still Good,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",6,Lake Buena Vista,"Currently staying at this resort. Not a family destination, just for large school parties. Dining area has good selection but drinks area is poorly maintained with one wash station broken for our whole stay. Rooms usual budget level but very poor level of housekeeping. Having...","July 9, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Disappointed ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",69,Lake Buena Vista,We had never stayed here before but wanted something cheap on Disney property so we could use the transportation. When we arrived it was well before checkin but the young man assisting us ask if we would take a different room than requested because they...,"July 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Nice cheap room,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",11,Lake Buena Vista,"Our small family of 3 stayed here in early June, 2017 during our visit to the new Pandora at WWD Animal Kingdom. The prices were great for Florida Residents at the time I reserved the room four months in advance to our trip. Total for...","June 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Price,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",28,Lake Buena Vista,"Like all value resorts, they have a food court with so many varieties of food, whether you're vegan, vegetarian, or a meat lover, I have yet to visit a food court that didn't disappoint. The mickey waffles are the bomb :) I loved the large...","June 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",great hotel!,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",6,Lake Buena Vista,"We booked this because it was one of the cheaper Disney hotels. We had stayed in Art of Animation last year and it was nice, felt like just a cheaper hotel that has been painted & decorated a lot. All Star Movies was similar...not as...","June 14, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice for low price ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",11,Lake Buena Vista,Note that in order to check in online you have to do it 24 hours prior to arrival. Wish I would known that. Arrived at 3 and waited awhile to check in. Service was friendly and professional. Asked for a Toy Story room based on...,"June 12, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",It is value for a reason,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",7,Lake Buena Vista,Perfect for families with kids. Comfortable rooms. lovely decoration. It is near parks and perfect after a long day walking. Pools are very safe. Customer service is standard nothing extraordinary. Good hotel.,"July 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice Hotel,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",46,Lake Buena Vista,"We stayed in building 1, room 1948 and have no complaints at all. The room was simple. Basic. Nothing fancy. Hot showers and a clean bed was what we got and it was fine with us! It was our first trip to Disney and we...","July 5, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Very badic,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",10,Lake Buena Vista,"Very sad to write this review, we spent 3/2 nights hoping to have a magical experience... unfortunately it started with a ""simple"" check in not even greeted by the Cast member that got our reservation after ignoring us in the Reception area for over 8-10...","July 3, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Disney's disappointment! ,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",6,Lake Buena Vista,"This was a good value for the price. The room was pretty basic. It did not have basic conveniences like a coffee maker, but it did come with a hair dryer and mini fridge. The room could've used a few more outlets conveniently placed. The...","July 3, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",1st trip to Orlando,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",172,Lake Buena Vista,"While family was split between resorts on a recent Disney vacation, I have to give a well ""eared"" shout out to this Resort. No luxuries in rooms, yet comfortable, fridge provided, and clean. The food court is fabulous, lots to offer, and superior staff! The...","June 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Value Resort Delivers!,3.0 Star Hotel
1901 West Buena Vista Drive,Disney's All-Star Movies Resort,"Orlando, FL 32830-8412",2,Lake Buena Vista,We enjoyed our stay here. It was very close to all parks and had all the amenities you would need. Not a bad price either. In addition to movies they also have music and sports themes. Check Disney's website for promotional offers.,"June 2, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very convenient ,3.0 Star Hotel
