Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",8,Lake Buena Vista,"So we stayed here for a week in June and the room was clean and we were very close to the center of the resort, which was nice. I know construction was/is going on but there were always housekeeping carts sitting around all of the...","July 1, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",OK.,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",6,Lake Buena Vista,The resort is beautiful and you cannot hear the construction all around. The pools were nice and clean. The big pool shuts at 11 which is early for a resort but the lifeguards are terrific. The rooms were clean and well maintained. The buses are...,"July 1, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Dance trip,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",13,Lake Buena Vista,We spent six days and five nights at this resort June 19-24th 2017. I was very impressed. Always clean & comfy beds. It's the best moderate resort we've stayed at and we've done both Riverside and Coronado Springs. The vegetation and how it sits around...,"June 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Vacation! Great Resort!,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",33,Lake Buena Vista,"Stayed May 21 – 26, 2017 – family of four, two parents and 18 and 19 year olds. Our first and not last time we will stay at the Disney Caribbean Beach Resort. Our last two visits to WDW (2010 and 2014) we stayed at...","July 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",First Time Stay and Won't be the Last,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",1,Lake Buena Vista,This is a big resort. We were going to do a value resort & glad we didn't. It could have been a touch classier? We had the pirate room. It was clean & comfortable. Plenty of storage but no microwave. We were the last shuttle...,"July 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Fun! ,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",27,Lake Buena Vista,We made an unexpected detour to Orlando and checked in here. We were definitely not disappointed. The room was awesome and the area always immaculately clean. This resort is quite big and you have to drive to your room or take the busses to get...,"July 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome hotel to stay at ,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",11,Lake Buena Vista,"This review is way over due! We visited back in May 2016, we had a blast! The room was very comfortable.The hotel theme is vibrant, however there could be more nightly entertainment with more of of a Caribbean-vibe. Dining options were abundant; the home-cooked style...","July 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Very nice family resort,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",6,Lake Buena Vista,absolutely the worst trip to Disney ever! I had to walk 1 mile round trip for a cup of coffee. Because Trinidad does not have a market lime some of the other islands do. I do know that the rooms have coffee makes but it...,"June 29, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Not impressed ,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",10,Lake Buena Vista,"5 of us stayed here for 4 nights. 3 adults, 1 teen and a child. We stayed in the Jamaica rooms. The pull out bunk was perfect for our 8 yr old but can comfortably fit an adult as well. The beds were soft. Two...","June 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Room and bus experience and recommendations.,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",21,Lake Buena Vista,The rooms were recently renovated and very nice. We tried to do the online check-in and couldn't get in our rooms when we got there. We managed to get someone who could fix it over the phone so that we didn't have to put our...,"July 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Renovation was barely noticable,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",3,Lake Buena Vista,Brilliant staff even though it's being refurbished not in any way hampered our stay Staff are all so helpful and cheerful 😁 The manager at breakfast today 4th July esp lovely and cast member in laundrette boon is so helpful Our lady that cleans our...,"July 4, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Fantastic ,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",119,Lake Buena Vista,"Drift away to the Caribbean without even leaving the country. Disney's Caribbean Beach Resort is one of the oldest moderate resorts, and as such they are currently do some refurbishments. However, the pool area is still (in my opinion) one of the best of the...","July 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Always amazing,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",6,Lake Buena Vista,To start our room was not ready until 4pm and when we got in it was dirty! There were not enough buses to accommodate all the parents heading to Magic Kingdom to watch their children in the parade which is why we were there. There...,"July 2, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Dance the world visit ,3.5 Star Hotel
900 Cayman Way,Disney's Caribbean Beach Resort,"Orlando, FL 32830-8411",5,Lake Buena Vista,"We spent 8 days at CBR and have no complaints. Our room was located in Martinique building 25. Close to the pool, island market, Coke Freestyle machine and bus stop. Quite with a beautiful lake view. Beds were comfy, AC worked great and room was...","July 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Disney Resort!,3.5 Star Hotel
