Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",2,Lake Buena Vista,"Top of the World bar and restaurant great place to relax grab a snack and see the fire works.
Mike Sasse is the best bartender on Disney property (we have been to most of them in the last 30 years).
He is helpful, friendly and...","February 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Top of the World restaurant and bartender Mike Sasse,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",182,Lake Buena Vista,"I recently spent six nights at Bay Lake Tower. It was my third stay at the resort, and I really enjoyed my stay. I had a standard studio on the third floor. My room overlooked the courtyard on the inner side of the circle and...","April 4, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Location, location, location",3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",56,Lake Buena Vista,"Technically, this hotel / timeshare is part of the Contemporary Resort. It is situated between the main tower of the Contemporary and Space Mountain making it easily walkable to Disney's Magic Kingdom. Built in 2010, this is Disney's newest ground up hotel next to the...","February 26, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Place to stay in Disney World for Many Reasons,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",77,Lake Buena Vista,"This is the best accommodation for a group from which to base a visit to the Magic Kingdom at Disneyworld. Rooms can handle as many a dozen. We have visited twice and enjoyed the two and three bedroom suites. One can enjoy Full kitchens, multiple...","February 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The Best Place for a Family to Stay Near the Magic Kingdom ,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",6,Lake Buena Vista,We had an absolute wonderful time in a 1BR - family of 4. Location is amazing - pool is fun. Staff has been friendly. We got a room near the bridge to Contemporary on the 5th floor which was really convenient. The Wave is wonderful....,"February 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",First DVC stay - huge success,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",107,Lake Buena Vista,"When you buy real estate they say the three most important things are location, location, location. This is why we bought DVC at Bay Lake Tower.
We had stayed at the Contemporary before, but this was our first time staying at Bay Lake Tower as...","March 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Love having this as one of our DVC homes,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",5,Lake Buena Vista,This is our first stay at BLT and it won't be last. We arrived around noon and a room was available on the third floor with a view of the treetops and the pool. We took it as we were ready to go exploring. Our...,"April 20, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Location and Perfectly Sized,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",27,Lake Buena Vista,"We have stayed here several times and will do so again soon. The rooms are typical of DVC properties and feel like they are in the middle of the range of size. The theme is, as you'd likely suspect, contemporary. However, instead of 1970 contemporaneous...","February 19, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Modern Disney,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",38,Lake Buena Vista,"HI we rented points through a DVC member. I felt like a step child, especially since we did not have access to watch the fireworks but I felt like the staff at the Contemporary was more attentive than the Bay Lake Staff by huge stretches....","March 18, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Enjoyed the location,3.5 Star Hotel
4600 North World Drive,Bay Lake Tower at Disney's Contemporary Resort,"Orlando, FL 32830-8413",32,Lake Buena Vista,"We were here in FFebruary and stayed in a 9 person suite in the Bay Lake Tower hotel. Our room was very nice with two bedrooms, three bathrooms, full kitchen, laundry room, common area, and two balconies. Our room overlooked the pool and Bay Lake,...","March 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Very nice hotel - We will go back,3.5 Star Hotel
