Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",306,Lake Buena Vista,We love the Wilderness Lodge and booked our third stay here to celebrate my daughter's 16th birthday. Check in was a breeze with Kirk from Yosemite (who may also have had something to do with the birthday balloons and cookies we received as a delightful...,"March 5, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Disney Wilderness Lodge, what happened?",4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",29,Lake Buena Vista,This was my first visit to Wilderness Lodge and although I wasn't overwhelmed by the experience it was an enjoyable visit. I booked this trip last minute and most of the resorts I wanted to stay in had no availability so I reluctantly booked here...,"March 1, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",A Nice Visit,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",73,Lake Buena Vista,The construction noise was much greater than expected. We had a suite facing the water. Very small porch. The boat arrivals also created a lot of noise waking us up early in the am. the boat parade in the pm also added to the noise....,"March 1, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Mountain West theme- construction noise,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",2,Lake Buena Vista,"Our family stayed here during construction of one wing of the resort. The quick service restaurant was also out of commission during our stay. With that begin said, we were not bothered by the construction. The room we had faced the pool and water. Two...","March 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Lovely lodge,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",32,Lake Buena Vista,"Hotel was nice. Most of the staff seemed courteous buy the front desk and concierge.
Beautiful views mostly at dust. The hotel is basically an extension of the parks.
The bus service is really helpful if you are just visiting Disney parks","April 4, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Not to bad,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",10,Lake Buena Vista,"This place is amazing. The staff is wonderful and they offered me and my family an upgrade without us asking. The room was very clean, big and the view was just breathtaking. We were able to see MK from our room and watch fireworks as...","March 20, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Family Vacation ,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",2,Lake Buena Vista,"Second time staying here. Love the great theming, fun details, kind staff, yummy food options, and boat access to magic kingdom. The rooms seem a little dark and dated, not what I'd expect for a hotel at this price point, but the common areas make...","March 13, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Great theming and location, good value",4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",4,Lake Buena Vista,"Stayed for 4 days, 3 nights, during the first week of February. Due to the on-going construction there were only 2 elevators working when we arrived. One of the elevators stopped working during the evening of our second night. I told one of the maintenance...","February 28, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Poor service,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",2,Lake Buena Vista,For the money we paid we expected more from this hotel. Then we ended up having to bring child to er nobody could tell you where the closest pediatric er was located and you would think Disney having so many children the staff would know...,"February 28, 2017","ui_bubble_rating bubble_20,ratingDate relativeDate",Not happy guests,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",6,Lake Buena Vista,This was my second stay at wilderness Lodge. This time we stayed at boulder ridge villas in a studio. We had three adults and two children. The room was small and the bed and fold out couch uncomfortable. The resort is under refurbishment so the...,"March 26, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Family vacation ,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",170,Lake Buena Vista,"As longtime Disney Vacation Club Members, we have had occasion to stay at all the DVC has to offer. We chose Wilderness Lodge (not historically our favorite) because of its proximity to The Magic Kingdom.
We did have a nice vantage point of the ongoing...","March 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Needs Work,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",18,Lake Buena Vista,"Stayed here in march and it lived up to expectations
Check in: Disney was able to assign our room early and BC we already had prechecked in online and already received our magic bands we were able to skip the check in desk and went...","March 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney Magic,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",7,Lake Buena Vista,"Our family had a wonderful stay at Wilderness Lodge for our Disney vacation in February. While I had visited Disney several times, this was my first experience staying on property for a multi-day trip. The Wilderness Lodge itself is beautiful and everything is so on...","March 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Can't wait to return!,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",49,Lake Buena Vista,"I recently traveled to Wilderness Lodge with a large family group. The hotel had a positive first impression - it is attractive and well-decorated (although enormous) - but the experience quickly deteriorated.
We had rooms on the concierge floor, which gives you access to the...","April 4, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",A RIGID good time...Don't waste your money on the concierge lounge!,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",21,Lake Buena Vista,I have visited DisneyWorld multiple times and I have stayed at resorts both on and off Disney property but the Wilderness is by far my favorite. This last visit was with my 18 year old daughter and we both loved this property. The lodge-themed decor...,"March 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Experience! ,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",37,Lake Buena Vista,"Everything about this resort - from the expansive and beautiful lobby, to the warm welcome from excellent staff, the well equipped rooms, stunningly landscaped grounds and the boat ride across the lake to Magic Kingdom - was incredible.
I was a bit reluctant to stay...","March 17, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Incredible Resort.,4.0 Star Hotel
901 Timberline Drive,Disney's Wilderness Lodge,"Orlando, FL 32830-8426",8,Lake Buena Vista,My family and I just got back from Disney's Wilderness Lodge on a short vacation. The place has access to all the Disney Theme Parks and is a great place to stay. The new outdoor food service features an incredible Bison Cheeseburger served with Waffle...,"March 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A World of Adventure,4.0 Star Hotel
