Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",29,Lake Buena Vista,"This was our first Disney holiday, my 12 year old daughter's first holiday and it was brilliant. We stayed in the Savannah room and the views were great. Waking up every morning hearing and seeing the animals is something we would never forget. The hotel...","June 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Fantastic place,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",3,Lake Buena Vista,My family visited Disney world a couple years ago now and they still talk about this hotel as the best hotel they've been to so I decided to finally review it. The animals were literally right out of our sliding glass door everyday. It smells...,"June 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best ever ,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",13,Lake Buena Vista,"We stayed at the Animal Kingdom Lodge for eight nights in early May 2017 and enjoyed this unique, well-themed Disney resort. Visiting with a preschooler, what we enjoyed most about this resort, were the savanna views, the family-friendly facilities, great restaurants, cultural activities and animal...","June 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Great, family-friendly experience at Animal Kingdom Lodge",4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",5,Lake Buena Vista,"This place was amazing. We had a great time. The room was clean, staff were all friendly. I booked a standard room, but to our surprise we were upgraded to Safari view!! It was nice to drink my coffee in the morning overlooking the animals....","June 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",My son's first Disney trip,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",18,Lake Buena Vista,"We stayed here for 2 weeks in August 2016 and all I can say is WOW!! Absolutely beautiful resort with amazing decor, the Lobby was beautiful arranged and the staff were absolutely amazing with the children. They really went that extra mile to get all...","June 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing Holiday ,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",17,Lake Buena Vista,"This was our first family holiday to Walt Disney World, I had always wanted to stay at AKL and it was recommended to us also.
Very impressed with the lobby on check in & the staff were wonderful. We booked a standard view room and...","May 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Enjoyed our first Disney trip,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",2,Lake Buena Vista,"We only visited for breakfast but highly recommend the visit. Buffet was huge, hotel environment was so well decorated. The animals surrounded the hotel and there were numerous viewing areas, all for free.","June 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wild animals surround the lodge,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",3,Lake Buena Vista,"We stayed for 5 nights, 6 days and could not have asked for a better experience. Everything from the ambience to the service was exceptional. We've been to all of the parks before and know that too many days can lead to Disney burnout, so...","June 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A magical experience and immersed into the culture,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",6,Lake Buena Vista,As a family we enjoyed our stay here .. The pool at kidani village was fantastic really loved the kids water play area and slide. Shame the Kidani village has only got one main restaurant. Great to see the animals when walking around the resort.....,"June 17, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Enjoyed our stay ,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",1,Lake Buena Vista,The room view was fantastic. Waking up every morning and sitting on the balcony watching the sunrise and the giraffes right by your balcony is breath taking. The hotel is a good size with lots to do. The negative thing was when we checked in...,"June 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Honeymoon,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",28,Lake Buena Vista,"Just returned from my 5th Disney trip, 3rd staying at AKL. I can't imagine staying anywhere else at this point. It is still just as wonderful and the first and second time we stayed there. I can't wait to go back.
Our first two visits...","June 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Still my absolute favorite,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",18,Lake Buena Vista,If you want to see African Animals this is the reason to visit this hotel. We just got back from a week here. The staff are all great. The savannah rooms are nice albeit a bit overpriced but (it is Disney) so everything is. This...,"June 5, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Animals are the reason,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",2,Lake Buena Vista,"It's a lovely hotel with nice restaurants, a great pool and obviously a little different in that you wake up 'on safari'. All that said, depending on your holiday is it really worth the extra money? If you're planning on spending most of your time...","June 19, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Good, but is it really worth it?",4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",28,Lake Buena Vista,"Stayed in a 3 BR room at the Jambo house with Savannah view. Took our kids and their families for a total of 10 and this had plenty of room. The suite had great views of the animals. The living area was great and roomy,...","June 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",WDW is WOW! This was the best ever room,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",6,Lake Buena Vista,We stayed here for 3 nights on our honeymoon as part of our visit to Disney World. We wanted to be close to the parks so that we would not have to travel too much to get around. The bus services are good in theory...,"June 7, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",The Disney Experience,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",42,Lake Buena Vista,In my previous review I mentioned that you should stay at deluxe resorts because the bus service is faster. This is no longer the case. Our recent stay at Animal Kingdom Lodge disappointed us with a bus every 20 minutes or longer. It actually took...,"June 7, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Update to my previous review about bus service,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",26,Lake Buena Vista,"This hotel is more secluded and dark in its decor, which makes it the perfect resort for a romantic getaway. I would say it is quite similar in appeal to the wilderness lodge, however, I actually prefer wilderness lodge over the animal kingdom lodge. We...","June 17, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Romantic ,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",7,Lake Buena Vista,"Loved the resort - from the theming, to the food, the staff, the service - everything was just perfect!
We traveled with 2 Disney crazy kids (8 and 3) for a 8 day trip- it was their first trip to Disney and the fact that...","June 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing Vacation,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",15,Lake Buena Vista,"Stayed for 3 nights end of May, wish it was longer! So much to do, and such a beautiful day it would have been fun to just spend a day relaxing by the pool and enjoying the beautiful restaurants. Very clean, friendly service, extra hours...","June 14, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Closest I will ever get to a Giraffe!,4.0 Star Hotel
2901 Osceola Parkway,Disney's Animal Kingdom Lodge,"Orlando, FL 32830-8410",44,Lake Buena Vista,"We stayed at AKL for 2 weeks during our holiday to Florida. We stayed in Jambo house where the lobby is so spectacular. We stayed in a family room with a Savannah view. The room itself was nothing special, especially for 5*, however, it's all...","June 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Savannah View!!!,4.0 Star Hotel
