Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",6,Lake Buena Vista,We loved staying in the Epcot area of Disney World. We loved that we could walk to two of the parks (Epcot and Hollywood Studios) and not have to worry about transportation. You could take the boat if you didn't want to walk it! The...,"January 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Location,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",142,Lake Buena Vista,"We stayed at Boardwalk Villas for a family trip to Disney World. We brought teenagers and booked a two room villa. We have stayed at Boardwalk previously and love the location.
Our two room villa consisted of a Master Suite (which is as nice as...","January 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Perfect Location and Excellent Choice for Epcot and Studios,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",65,Lake Buena Vista,"Incredible location. Under 10 minute walk to Epcot. People were walking
to Hollywood Studios, about 20 to 30 minutes.
5 different resorts to choose meals from.
Staff are fabulous as seems to be standard at a Disney resort.
Only down side was lack of storage...","January 28, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Location,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",3,Lake Buena Vista,"This resort sits right between Epcot and Hollywood Studios. 10 min walk to Epcot, enter through gateway between France and the U.K. 10 min walk to Hollywood Studios, enter between tram drop and busses.
The hotel is on a Lagoon with The Dolphin, Yacht Club,...","January 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Cannot Beat The Location!!,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",10,Lake Buena Vista,We've stayed in a lot of Disney World (and off site) properties (I was in the travel business). This time we stayed in a two bedroom villa at the Boardwalk. The room set up (with kitchen) was outstanding. It was perfect for the four adults...,"January 24, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Experience in 15 years at Disney World,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",3,Lake Buena Vista,We stayed a night post-cruise in the BoardWalk Villas this week. We liked a lot about it. The pool is very nice (and heated...kiddos swam despite it being 60 degrees) and the slide was a hit. The arcade was fun although a little small. It...,"March 15, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Nice place, but slightly below other options",4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",8,Lake Buena Vista,"This is pretty much my new favorite Disney hotel. With two girls (11 and 8) it wasn't a horrible walk to Epcot and Hollywood Studios. The room was spacious enough for four people. The dresser was a little small, I typically can unpack and put...","February 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",New favorite Disney Hotel ,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",1,Lake Buena Vista,Always things to do. We love it here. We have stayed at many Disney Resorts through the DVC and this is our favorite. Close to Epcot and Disney Hollywood Studios. Variety of places to eat and entertainment on the Boardwalk. Look forward to our stays...,"February 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Location on Disney!,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",6,Lake Buena Vista,"This was my 16th trip to Disney, but the first time ever staying at boardwalk inn. This has now made it so I've stayed at every hotel on disney property. Next time I go to Disney I definitely will be going back here. The atmosphere...","January 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great hotel and location!!,4.0 Star Hotel
2101 Epcot Resorts Blvd,Disney's BoardWalk Villas,"Orlando, FL 32830-8442",24,Lake Buena Vista,Per usual the staff at any Disney resort is top-notch and Boardwalk was no exception. The room was clean and refreshed. The common areas were clean. The staff was nice and helpful. We have been trying to get reservations here for more than 10 years....,"March 2, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Absolutely wonderful!,4.0 Star Hotel
