Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",37,Lake Buena Vista,I go to Disney for business at least a dozen times per year and so I routinely stay are a wide variety of properties from the All Star brand of Disney properties to Animal Kingdom Lodge. I've been doing this level of travel with Disney...,"May 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A Truly Magical Disney Property - Extra Pixie Dust Included,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",85,Lake Buena Vista,"This was our first time here at the Beach Resort, but it won't be our last. It's been many, many years since we last stayed at any Disney Resort. They have put an emphasis on service and customer care that is unbelievable.
Let me say...","April 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Beyond Expectations!!!,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",26,Lake Buena Vista,Spent a week at Disney's Beach Club Resort. Gorgeous hotel--we stayed club level--although on another floor with access to the club. Just be advised that you might not actually be on the floor of Stone Harbor Club. We didn't mind it--another thing if you don't...,"April 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Fantastic Hotel,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",21,Lake Buena Vista,Our recent stay at the Disney beach club was a very nice experience. The rooms are very nice and well appointed. I could see having a noise issue as we could hear the person next to us talking on the phone as if they were...,"April 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Very nice place to stay,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",31,Lake Buena Vista,We are DVC members and this was the first time staying at the BCV. What a great experience! The pool is by far the best on Disney Property. We stayed in a studio which was handicap accessible. Plenty of room and was very convenient to...,"April 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Excellent,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",25,Lake Buena Vista,"While the rooms are renovated and nicely appointed, the main pool area needs a refresh. The sand bottom pool is not-so-sandy anymore. The sand area that is still there is dirty, there is trash all around. We used to think this was one of the...","June 7, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Not Like it Used to Be,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",42,Lake Buena Vista,We stayed Club Level in January 2017. This is an excellent resort with an excellent swimming area. The location can't be beat. You just walk over to Epcot or take a boat to Hollywood Studios (you can walk if you want). The other parks are...,"May 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Top Notch Stay, excellent location!",4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",13,Lake Buena Vista,"We stayed at the Beach Club for 7 nights on a recent family vacation to Disney. The absolute best thing about the hotel was the location. Epcot was only a 5 minute walk away and Hollywood Studios is about a 20 minute walk, or you...","May 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Can't beat the location,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",5,Lake Buena Vista,"Loved this hotel.
Convenient 5 minute walk to Boardwalk restaurants and shops.
Convenient 8 min walk to back entrance of Epcot.
Boat takes you to Hollywood studios.
Fantastic seafood restaurant with character dining in evening.
Great pool with sand in the bottom- a lazy river,...","May 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Fantastic club class,4.0 Star Hotel
1800 Epcot Resorts Boulevard,Disney's Beach Club Resort,"Orlando, FL 32830-8443",10,Lake Buena Vista,"Stayed at the Beach Club Resort many times over the last 20 years.
The rooms are very nice and for my vacation, I think it's worth paying for the views of the water so you and your kids can enjoy watching the boats as well...","May 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Nice hotel, great staff and large enough to feel like you are on vacation",4.0 Star Hotel
