Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",34,Lake Buena Vista,"We arrived at Orlando on a Thursday morning and proceeded to Magical Express. Here we waited a very long time, almost 45 minutes for the magical express and then it stopped at many resorts before ours. We did pre check in so we were able...","March 2, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Location is the only thing going for this hotel,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",44,Lake Buena Vista,"The lobby, the restaurants, the spa and the pool were all first class. We stayed at the sister hotel, which is the Beach Club, but spent a fair amount of time at the Yacht Club. Our own experience was very positive and we spoke with...","April 9, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Loved the Hotel,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",14,Lake Buena Vista,"I attended a conference at the Disney Yacht Club Conference Center and while I did not stay on-site, my colleagues did. I can offer a limited review of the room and a more thorough review of everything else. Their room was small but clean. The...","February 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Beautiful Resort,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",8,Lake Buena Vista,"We have stayed at the YC many times and love it. The ease of access to Epcot, particularly after the nightly fireworks have finished, as well as Hollywood Studios make it the perfect base. The pool is amazing and the setting perfect. The rooms are...","February 26, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",A magical place,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",1,Lake Buena Vista,"The place is beautiful, undoubtedly. Nicely maintained, two. The outside part is just great. In the hotel there is this feeling of vacuum. Totally base on the parks around to entertain. The food is expensive. Very.my request for a 1 hour delay in checkout was...","February 26, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","The establishment is impressive, but.. ",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",20,Lake Buena Vista,"My family did a quick trip to Disney over a long weekend and were among the first guests to enjoy the newly renovated club level (""Regatta"") rooms and lounge. Wow! The renovations to the rooms and lounge are awesome, and well worth it.
We typically...","February 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",First guests in renovated Regatta Club Level rooms,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",18,Lake Buena Vista,"This resort was under refurbishment during our stay, but not to a degree that it significantly affected our experience. The rooms were neat and spacious. The pool was great and is shared with the Beach club resort. Our kids loved their stay. The location is...","April 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Awesome Pool,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",26,Lake Buena Vista,"I was completely amazed at this destination in Orlando! Super clean, super incredible place to stay! There is a marina in the back of the property that includes a water taxi to the boardwalk area and other locations. The hotel recently went through some remodeling...","April 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Amazing place,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",10,Lake Buena Vista,"We stayed again at the Yacht Club based on the excellent location near Epcot, great transportation options and helpful staff. Once again, the staff made traveling with someone who is mobility-impaired a little easier. We stayed on the Regatta Club level and enjoyed the breakfasts,...","March 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Repeat visit, not disappointed",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",53,Lake Buena Vista,"Our second time at the Yacht Club and it does not disappoint. Comfortable rooms with attentive staff. Best part is proximity (short walk) to Epcot and Boardwalk, For kids the pool and beach area are fantastic. Only issue was erratic bus schedules to Magic Kingdom.","March 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Perfect for kids,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",56,Lake Buena Vista,"While the Yacht Club Resort is still under renovation, that portion that has been completed has been thoughtfully improved. The new furnishings have electrical plugs everywhere for our myriad devices that constantly need to be charged, especially after a day at the awesome pools at...","April 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Beautiful refurbished Yacht Club Resort is a treat,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",18,Lake Buena Vista,"This was our FIRST time staying at Disney's Yacht Club Resort and 8th stay at a Disney resort. While all the resorts offer unique things, this one quickly became our favorite resort! The kids also love the pirate ship waterslide and we like that there...","April 4, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","The Best Pool, Great Staff, Close to Epcot. Will never stay anywhere else again!",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",11,Lake Buena Vista,"I was stuck at this hotel for a 5 day business conference in April 2016. I had a very average experience and stay . I went to the gym several times, which is adequate, ate at several of the restaurants, which were average. The rooms...","April 3, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Stuck at Disney for Work,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",19,Lake Buena Vista,"This property has been newly remodeled, and nicely updated. I was on the club floor which gave you a chance to get a light breakfast, snacks as well as the day moved on. Food in the restaurant was also excellent.","March 16, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The more adult hotel of tthe the many Disney properties,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",156,Lake Buena Vista,We stayed for 2 nights and one park day before heading out for a cruise. We arrived around 5pm and self parked and were greeted upon walking in to the resort by a lovely lady with an iPad who scanned our magic bands and saw...,"March 22, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Short Visit,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",3,Lake Buena Vista,"Beautiful, immaculate hotel & grounds! Excellent customer service; very friendly & attentive staff at every encounter. They are undergoing renovations, but we did not notice any disruptions. We happened to stay in a newly renovated room, and it was lovely. The pool area is huge,...","March 20, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",6,Lake Buena Vista,"This was our second time staying at Disney's Yacht Club Resort and 4th stay at a Disney resort. While all the resorts offer something unique, this is one of our favourites as the pool is warm with lovely sand bottom. The kids also love the...","March 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Lovely Pool, amazing Staff, and Close to parks. Our favourite Disney Hotel!",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",9,Lake Buena Vista,"We just came back from 9 days on the Regatta Club level. The staff are all amazing (especially Regina), our room was perfect and beautifully decorated and the whole property is just great. The refurbishment work that is going on was barely noticeable and it...","March 27, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Fantastic Place,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",6,Lake Buena Vista,"We've stayed here several times over the years. Like all the Disney property hotels that I've stayed at, it's clean, the staff is wonderful, the rooms are comfortable, and the experience is always good. But there are two things about this hotel that together makes...","March 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Possibly the Best Disney Hotel,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",26,Lake Buena Vista,"Quiet room, fridge in room. Had room with two queens and a daybed. Groceries available within walking distance at two locations - marketplace and at the boardwalk! Took advantage of grocery delivery, but had I known about nearby groceries I would not have ordered online....","March 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Great location! Safe, clean hotel! Walkable to two parks",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",5,Lake Buena Vista,We spent 4 nights on the club level at the Yacht Club. I must say we were impressed and can't wait to go back! When we arrived we were taken directly to the 5th floor of the resort to check in at the club level...,"April 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Club Level was amazing!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",6,Lake Buena Vista,We stayed with family and splurged on club level. The property is really beautiful though rooms are a little smaller than a typical hotel of this caliber and showing their age a bit. We loved having a balcony that overlooked the pool and can't say...,"April 13, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Can't beat this location in Disney!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",65,Lake Buena Vista,"Drop by for the day with the family while staying at Disney. This is the best pool for family fun at Disney. Lazy River, Slides and a play area with sand for the kids. Plus you can walk over to Epcot and the downtown area....","April 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best pool at disney,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",12,Lake Buena Vista,"Just what you would expect from a Disney resort: clean and friendly; well located.
This resort is right on the lake. An easy walk to the boardwalk with a pleasant surprise of an easy running trail.
Some renovation work is in progress, which can make...","April 11, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Nice, friendly, but under construction",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",7,Lake Buena Vista,"Typical Disney stay, very clean and staff very helpful and on top of everything. The Magical bus from the airport is very convenient and check in was smooth, the lodging was first class and is in close proximity to Epcot and several restaurants on the...","March 15, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Three day conference stay with plus one,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",195,Lake Buena Vista,"Sooo much fun with a huge pool complex and short walk to Epcot's countries and to the Boardwalk, tons of dining options, quiet rooms, small pools with hot tubs have late night hours, main pool is heated with huge fun water slide and a sand...","March 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Sooo much fun with a huge pool complex and short walk to Epcot's countries and to the Boardwalk,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",8,Lake Buena Vista,"We were greeted by a bellman who refused to dispose of a small clean bag of water bottles for us when asked if he had a garbage. Instead, pointing me to a trash can 35 feet away, causing my two year old to cry as...","March 13, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate","Staff no longer shares the ""spirit"" of Disney",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",5,Lake Buena Vista,"This is simply a stunning property, finding it hard to think of any negative points apart from the fact its on the pricer side of things.
Main plus points for us were the beautiful landscaping and its prime location. Located a short walk from the...","March 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Beautiful Resort - Amazing Location,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",32,Lake Buena Vista,"Stayed here for 3 nights whilst renovations were ongoing. No noise disruption at all! Maybe we got lucky as our room was also close to the elevator (as requested) and looked towards the Boardwalk. A lovely hotel, great location near HS and Epcot for parks...","March 9, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great stay!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",17,Lake Buena Vista,Our second stay at night club. Last there in 2012. Stayed 6 nights not early December in third floor room facing the boardwalk leading to boats and over the entrance to Yacht Club. King bed was comfortable and with roomb to spare. Clean and comfortable....,"April 2, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Nice stay at yacht club,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",62,Lake Buena Vista,"I was at Disney's Yacht Club Resort for a conference, and found it to be a better hotel than the Beach Club next door (where I stayed last year). The Yacht Club was closer to the conference facility, and the room was far more comfortable...","April 27, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Dated but ok,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",16,Lake Buena Vista,"Checked in a day prior to our Polynesian Resort weeklong stay! Thoroughly enjoyed the renovated room, excellent guest service and one of the greatest stays in WDW! Oh and did I forget to mention the best steak house anywhere?!?! Yachtsman Steakhouse is a must do!!!","May 14, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Checked in a day early to WDW,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",41,Lake Buena Vista,"I stayed in a recently renovated standard view room on the 4th floor with two queen beds and a daybed. The room was very quiet. All cast members I dealt with in the resort were courteous and helpful. Did not eat at the resort, but...","May 8, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Renovated rooms are lovely,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",43,Lake Buena Vista,"Stay with family, but due to work compromise. The Vacation area rooms need more care. Access to Epcot area, priceless. Opportunity to see every night the fireworks show, priceless. The pool area is the BEST you can find in any Disney Property. Lot of things...","April 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","HOtel facilities are nice, but Vacaition area need improvement",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",97,Lake Buena Vista,"Check in was efficient, friendly, agent was always smiling and upbeat. she explained everything we asked her, and added more descriptions of other places and things around the Hotel. We were upgraded to a fourth floor room with a terrific view. Lobby is modern, rooms...","May 17, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",One of the Best Hotels on Property,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",6,Lake Buena Vista,"We stayed in one of the renovated rooms on the 5th floor Regatta Club level. Our new room was very nice but be warned for families of 5, the room is a standard size hotel room and does not allow for much space. The rooms...","April 25, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great stay Mostly,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",2,Lake Buena Vista,My wife and I stayed here for three night for a work conference. All I can say is wow. Everything was great. From the checkin to the check out. We had a great view. Great place to stay to travel between Epcot and Hollywood Studios.,"March 20, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",What's else can you say.....Its Disney,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",15,Lake Buena Vista,"My husband and I stayed at the Yacht Club for Disney Princess Half Marathon weekend. We had an amazing time.
Our magic bands arrived about 3 weeks ahead of our trip. We also received our Magic Express shuttle letter and luggage tags. We picked up...","March 6, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Would Definitely Go Back,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",30,Lake Buena Vista,"Just back from a 4-day weekend at Disney's Yacht Club Resort. Incredible customer service, topped with a gorgeous property, and proximity to all the Magic! Check-in was easy and the front desk staff were friendly. Our evening started with the gracious bartender at the Ale...","March 6, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Excellent Customer Service!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",11,Lake Buena Vista,"If you're looking for a Disney hotel that's close to Epcot, I highly recommend the Yacht Club. I had a Studio in the Vacation Club section of the hotel, it was actually slightly cheaper than a regular room for my travel dates. I've stayed at...","March 4, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Clean and close to Epcot,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",15,Lake Buena Vista,"We just got back from a 4 night stay at the Yacht Club, in a garden view room on the 3rd floor. Upon check in we were lucky enough to have our room ready (around 1:00). It was quite a walk from the elevator with...","March 3, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate","Great hotel, but needs a few things...",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",18,Lake Buena Vista,"The Yacht Club hands down has the best pool in Disney with its sand bottom, the longest slide, and lazy river. We love that this resort overlooks a gorgeous lake, and is within walking distance of the Beach Club, Boardwalk, and Epcot. Love this place...","April 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Best Disney Pool,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",10,Lake Buena Vista,"I can not say enough about the Yacht Club. It is not a grown-up version of the Beach Club, it is for everyone. We had a garden view room that was so calming and beautiful. We could see little rabbits hopping around the English style...","March 31, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",You don't even have to go to the parks ~,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",27,Lake Buena Vista,Stayed for business meetings for the weekend and this place is absolutely amazing..Resort perfection.. Parking can be valet or self park and isn't far from the front of the resort..Friendly staff and spotless rooms ...,"March 30, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Business meetings,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",3,Lake Buena Vista,"We were here for a short mid week break and were thrilled to score a recently refurbished room. Top notch to go along with an amazing pool and fitness area. This hotel room hits the mark on many fronts - excellent bedding, storage space galore,...","March 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wonderful room refurbishment,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",3,Lake Buena Vista,"I've gone to Disney about 10 times. This by far was the worst vacation I have ever had. First, I was told that when I arrived I could go straight to the park. Unfortunately, they didn't link my credit card correctly and I was unable...","April 27, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Totally disappointing,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",45,Lake Buena Vista,"We have stayed at different Disney resorts--value, moderate, deluxe, and even Shades of Green. Disney's Yacht Club is tied with the Grand Floridian for our two favorites.
This resort is situated across from Disney's Boardwalk Inn (so close that you can actually see it), but...","May 13, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Luxury close to Epcot!,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",26,Lake Buena Vista,"The whole Disney experience starts when you arrive on the Disney magic express. The bell hops are there to greet you and help with the luggage off the bus. The check-in process was super simple and plenty of desk people to help, never a line....","May 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disney experience exemplified,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",16,Lake Buena Vista,"We stayed at a club level room that had been renovated. The bed was very comfortable, and the room was beautiful with great storage space. However, there were no night tables or even a shelf to place an alarm clock or a cell phone near...","May 8, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Beautiful room, excellent service,but...",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",27,Lake Buena Vista,"This was one of our favorite Disney hotels! We've stayed at several over the years, but this was our first stay at the Yacht Club. The"" Disney Bubble"" is a key part of keeping a trip to Disney truly magical for us- and the Yacht...","May 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","Fabulous location, just great!!",4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",2,Lake Buena Vista,"I love this resort! It has the best pool and slide. It even has a smaller pool for the little kids. It has such good restaurants, such as the Yachtsman Steakhouse. I also like this hotel because the beach is right across from it and...","May 8, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",The Yacht and Beach Club Resort,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",11,Lake Buena Vista,"We stayed here the week before Easter. We were pleased with the hotel, it is under construction and occasionally we heard noise. The rooms are in desperate need of a makeover. Especially the bathrooms! It is a 5 minute walk to Epcot and a short...","April 30, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Perfect location,4.0 Star Hotel
1700 Epcot Resorts Boulevard,Disney's Yacht Club Resort,"Orlando, FL 32830-8407",18,Lake Buena Vista,"I had the pleasure of staying at Disney's Yacht Club Resort at the end of March. I was given one of the newly renovated rooms, and I was very impressed with it. I have stayed at Yacht Club on several occasions, and I have to...","April 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Another great Yacht Club Trip,4.0 Star Hotel
