Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",18,Lake Buena Vista,"When we come to Disney we like to stay near Epcot so we can pop over to Epcot for a dinner in a different country every night.
What I love about staying on the Disney property when I go to Disney World is that they...","April 12, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A piece of the Shore at Disney,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",10,Lake Buena Vista,"Embedded with luxury Victorian style, the BoardWalk Inn is simply a gorgeous place to stay. Wish to come back and have a longer stay next time!
Each room is attached to an extended balcony with enticing view, the lobby, the hallway and the lounge elegantly...","May 3, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",BoardWalk Inn - A real home away home,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",47,Lake Buena Vista,I stayed at the Boardwalk Inn for the last 3 days and highly recommend it - especially for convenience. I quick boat ride to Epcot or a casual walk makes the location ideal. I didn't have to drive for the entire time. And there were...,"April 10, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",On the Boardwalk ,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",1,Lake Buena Vista,The place really seems like a 3 star hotel and is definitely not somewhere I would stop again. This particular Disney resort is a very bad one in comparison with others. 1) The rooms are small and uncomfortable 2) The Boardwalk is nothing like a...,"April 9, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Not worth it,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",42,Lake Buena Vista,"We have just come back from 2 weeks at the Boardwalk Inn. We had decided to try this hotel having stayed at the Beach Club across the lake the year before. I have mixed reviews on this hotel, staff couldn't do enough for us, the...","May 1, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Great Location!,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",14,Lake Buena Vista,"Very nice setting and wonderful atmosphere but overpriced ( but I guess everything is in WDW). I was there for a wedding and it was the ""primary"" location for all the guests. The amenities were lovely and all the staff were extraordinary.
I certainly would...","May 1, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Lovely, but overpriced",4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",9,Lake Buena Vista,"Love disney
Hate this place
Terrible expensive food and limited in resort services
Never saw disney character
Only saving grace was it was close to epic
Hotel room And pool was ok
Nothing special
Made me miss the food and cocktail at Hyatt regency cypress...","April 29, 2017","ui_bubble_rating bubble_10,ratingDate relativeDate",Worse experience in culinary,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",18,Lake Buena Vista,This resort has so many possibilities but the lack quick food service choices means you are having to make reservations for every meal unless you want a piece of fruit or pastry. Or you are walking over to the Dolphin for made to order cafeteria...,"April 26, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Disappointing for the price,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",1,Lake Buena Vista,"This is so easy to walk to Epcot Center or use water taxi. Our 5th floor room over looking lake had nice balcony to watch Epcot""s fireworks show. Room was very spacious and modern and clean. The bath area was spacious with double vanity and...","May 17, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Disneys Boardwalk Inn easy walk to Epcot,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",38,Lake Buena Vista,"This hotel is always within a few dollars of Beach and Yacht Club, yet its pool is not nearly as good. I also find the restaurant options to be better and more varied at B&Y, though the addition of Ample Hills has been great for...","March 31, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Stay at Beach or Yacht Club instead,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",4,Lake Buena Vista,"The hotel is absolutely beautiful,the staff was great. The only negative I would say is that there is no place to eat breakfast,there are places to eat breakfast as a sit down meal no good place have coffee and read the newspaper. I would stay...","May 7, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Very nice place,4.0 Star Hotel
2101 North Epcot Resorts Boulevard,Disney's BoardWalk Inn,"Orlando, FL 32830-8442",10,Lake Buena Vista,"The Boardwalk Inn has a great location. Boats to both Epcot and Hollywood Studios. Also close enough to walk to either of those parks. Plenty of food, shopping and entertainment options available on the boardwalk. We stayed in a 1 bedroom villa with a kitchen...","April 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great location with lots of entertainment,4.0 Star Hotel
