Add,Hotel,Zip,badgetext,extendadd,partial_entry,ratingDate,ratingbubble,review_title,stars
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",7,Lake Buena Vista,"We were there 6/24 through 6/29 2017 rooms 2327-28. We had a great time, from hanging by the pool to enjoying time at the pool bar , we also spent time with the granddaughter in the arcade. The food court had a good variety and...","July 1, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",We Had a Blast !,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",9,Lake Buena Vista,"We loved this resort! Travel agent encouraged us to book it since it was a smaller resort and easy to navigate. We weren't disappointed at all! I'm sure there are many advantages to the larger Disney resorts, but this fit us well. Our 6 yr...","June 29, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Loved it!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",345,Lake Buena Vista,"I personally like this hotel when I need a mid-level hotel on property at Disney World. That being said, if you have never stayed at a mid-level Disney hotel there are certain things that are important to know.
Cons and Perks
1. This hotel is...","July 20, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Pros, Cons and Perks of Port Orleans",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",18,Lake Buena Vista,This was the second half of my daughter's graduation trip to Walt Disney World. We spent the first 3 days a the Boardwalk Inn and then 4 days at French Quarter. I will start out with the fact that we LOVED the theme here. I...,"July 11, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Graduation Trip-2nd Half,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",8,Lake Buena Vista,This was a very nice Disney resort. It was small enough that there was only one stop on the bus route. We stayed at other resorts that had multiple stops which made it frustrating to get anywhere quickly. They had a nightly singing duo that...,"July 21, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Port Orleans French Quarter,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",14,Lake Buena Vista,The ambiance of this resort is great. It's beautiful and being along the river makes it peaceful and charming. The food court is fantastic and has new Coca Cola freestyle machines. I don't know if it was just our room but it was not clean...,"July 25, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Nice but could be cleaner! ,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",8,Lake Buena Vista,We just came home from a 5 night stay at the Disney Port Orleans French Quarter Hotel. This was a big upgrade from the All-Star Movies hotel we stayed at last year. It was definitely worth the additional expense. We stayed in room 2132 which...,"June 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate",Very good Disney Hotel,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",12,Lake Buena Vista,My daughter and I took a staycation to visit EPCOT. Port Orleans/French Quarters was the only Disney hotel available at the time of booking and we paid $250 a night. I was a little disappointed in the room. It looked as if it hadn't been...,"June 29, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Wasn't quite so magical,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",29,Lake Buena Vista,"If you are looking for quiet and peaceful in the middle of Disney then this is your place. We visited POR in beginning of April and it was fantastic. Room was not disturbed and the staff was pleasant. Nice pool that, for us, never got...","July 19, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great Mid Value Resort,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",38,Lake Buena Vista,On arrival we asked for and we're given conjoined rooms. 6101/02. Ground floor with garden views. Too be honest I wouldn't be to worried about what view you get. Most rooms are within 5 minute walk to pool / food court and bus stops. Rooms...,"July 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great fun had by all,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",49,Lake Buena Vista,"I'm not a fan of the whole New Orleans theme. NOLA is nice enough, but meh. The purple & green, Mardi Gras, beads and jazz music just aren't my thing, so I was reluctant when my wife said she got a great rate for a...","July 10, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Wasn't keen on staying here. Wow. Was I wrong!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",8,Lake Buena Vista,"A quaint Disney jewel. Lots to do and see. Great pool and quiet places to stroll. The boats take you to Disney springs. The food court offers an able selection of food items. There are some gluten free options, too! Great gift shop with all...","July 10, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",A little jewel of a hotel,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",3,Lake Buena Vista,"Upon arrival we were greeted at the front of the hotel when we arrived, as though we were trespassing. Questions came flying at us, are you a registered guest, do you have reservations, have you checked in? YOU CANNOT STOP HERE! All he had to...","July 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate","BAD START, GREAT ENDING",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",40,Lake Buena Vista,The fridge was broken and I called the front desk and it was replaced by the time we came back from the parks that night. This resort has a nice laid back Louisiana type feel. Beautiful grounds and plants. Big pool in center and smaller...,"July 21, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",7 day trip here and no complaints...,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",13,Lake Buena Vista,This was a great Stay! Check in was a breeze. Staff was welcoming and so accommodating. Huge kudos to our Mousekeepers our room was outstanding everyday. The grounds were lovely and well cared for. The pool and pool towels were fantastic. I love that there...,"July 25, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Deep South Treasure,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",2,Lake Buena Vista,We came here after our honeymoon because our connecting flight got delayed 3 times! It was a great experience. We arrived and were given beads and coins to throw in the fountain. The guy at the desk was great and very helpful especially getting there...,"July 23, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Came here on a whim!,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",5,Lake Buena Vista,"This is a smaller resort with so many advantages. I stayed in builiding three which was steps away from everything. I could be at the front desk, dining room, store, arcade, or pool in 3 minutes or less. The quick service dining choices were mainly...","June 29, 2017","ui_bubble_rating bubble_40,ratingDate relativeDate","Charming, Convenient, and Overall a Wonderful Resort",3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",4,Lake Buena Vista,Grounds were very pretty and very well kept. Before booking my flight I asked if it would be possible for my room to be ready early around noon. The woman I spoke to said that this would be no problem and she would put it...,"July 18, 2017","ui_bubble_rating bubble_30,ratingDate relativeDate",Nice property ,3.5 Star Hotel
2201 Orleans Drive,Disney's Port Orleans Resort - French Quarter,"Orlando, FL 32830-8424",5,Lake Buena Vista,Stayed here during our daughters band trip to Disney (band group stayed at another property). The theme is very nice and carried out well. We had a room with 2 Queen beds that was very spacious and overlooked the courtyard where they did movies. Transportation...,"July 28, 2017","ui_bubble_rating bubble_50,ratingDate relativeDate",Great theme and good location,3.5 Star Hotel
