Hotel,pfrom,pto
Disney's Coronado Springs Resort,191,747
Disney's Pop Century Resort,117,117
Disney's Caribbean Beach Resort,191,263
Disney's Animal Kingdom Lodge,319,1509
Disney's Saratoga Springs Resort & Spa,330,1300
Disney's Port Orleans Resort - Riverside,206,721
Disney's All-Star Music Resort,100,277
Disney's All-Star Movies Resort,100,277
Disney's Coronado Springs Resort,191,818
Disney's Port Orleans Resort - French Quarter,206,297
Disney's All-Star Sports Resort,100,155
Disney's Art of Animation Resort,143,331
Disney's Polynesian Village Resort,452,1141
Disney's Grand Floridian Resort & Spa,574,2047
Disney's Wilderness Lodge,307,654
Disney's Beach Club Resort,374,1452
Disney's Contemporary Resort,378,2006
Disney's Yacht Club Resort,374,1587
Disney's BoardWalk Inn,408,782
Disney's Old Key West Resort,330,645
Disney's Polynesian Villas & Bungalows,470,2272
Bay Lake Tower at Disney's Contemporary Resort,458,1065
Walt Disney World Dolphin Hotel,164,866
Disney's Beach Club Villas,495,1100
Disney's BoardWalk Villas,418,852
