"","Hotel","pfrom","pto"
"1"," Coronado Springs Resort",191,747
"2"," Pop Century Resort",117,117
"3"," Caribbean Beach Resort",191,263
"4"," Animal Kingdom Lodge",319,1509
"5"," Saratoga Springs Resort & Spa",330,1300
"6"," Port Orleans Resort - Riverside",206,721
"7"," All-Star Music Resort",100,277
"8"," All-Star Movies Resort",100,277
"9"," Coronado Springs Resort",191,818
"10"," Port Orleans Resort - French Quarter",206,297
"11"," All-Star Sports Resort",100,155
"12"," Art of Animation Resort",143,331
"13"," Polynesian Village Resort",452,1141
"14"," Grand Floridian Resort & Spa",574,2047
"15"," Wilderness Lodge",307,654
"16"," Beach Club Resort",374,1452
"17"," Contemporary Resort",378,2006
"18"," Yacht Club Resort",374,1587
"19"," BoardWalk Inn",408,782
"20"," Old Key West Resort",330,645
"21"," Polynesian Villas & Bungalows",470,2272
"22","Bay Lake Tower at  Contemporary Resort",458,1065
"23","Walt Disney World Dolphin Hotel",164,866
"24"," Beach Club Villas",495,1100
"25"," BoardWalk Villas",418,852
