Date,Disney,AMZN,KO,EA,FL,HSY,K,NKE,NOK,PM,PHG,SBUX,TGT,TSN,NVDA,INTC,AMD
10/24/2017,103.44,1123.17,46.18,111.7,29.24,109.36,61.2,55.15,5.05,108.57,40.88,57.22,57.89,71.16,216.14,45.58,11.26
10/23/2017,103.6,1120.66,46.32,112.46,29.65,109.12,61.48,56.04,5.09,109.36,41.15,56.57,59.29,71.52,205.32,46.3,11.12
10/20/2017,103.69,1111.6,46.38,113.2,29.85,109.02,61.45,55.71,4.97,109.52,41.46,56.03,59.36,71.54,209.16,46.7,11.71
10/19/2017,103.17,1094.22,46.59,112.69,30.01,109.35,61.7,55.12,5.03,108.15,41.12,54.87,59.79,71.41,212.03,46.78,12.05
10/18/2017,104.74,1103.68,46.4,114.47,29.91,110.05,61.79,55.07,4.94,112.51,41.24,55.13,58.86,71.55,209.63,46.7,11.93
10/17/2017,104.78,1105.28,46.52,119.6,30.08,110.82,61.74,54.99,4.89,112.65,40.79,54.84,59.04,70.94,208.69,46.34,11.12
10/16/2017,102.68,1110.85,46.62,117.58,30.58,110.94,61.91,55.27,4.82,113.52,40.26,55.17,59.55,70.55,205.94,47.1,10.85
10/13/2017,101.18,1100.95,46.18,116.89,31.55,110.07,61.96,55.96,4.91,113.99,40.68,54.88,60.26,70.21,207.2,46.71,10.8
10/12/2017,101.61,972.43,46.11,115.83,33.07,109.97,62.39,56.81,4.76,114.53,41.08,54.91,62.01,70.8,206.81,45.49,10.99
10/11/2017,100.64,972.91,46.1,114.56,31.29,109.52,61.25,54.94,6.05,114.26,40.51,54.16,61.92,70.04,203.84,44.37,10.89
10/10/2017,98.64,975.9,45.87,113.39,31.13,109.03,61.47,53.42,5.99,115.17,40.16,54.28,62.93,70.11,201.86,44.4,11.84
10/9/2017,98.35,966.3,45.41,113.66,31.62,107.89,61.04,53.66,6.03,113.37,41.96,54.27,62.58,70.64,195.69,41.35,12.01
10/6/2017,99.03,982.91,45.49,113.62,31.28,108.65,62.4,53.06,6.08,111.27,41.57,54.57,61.76,70.66,193.66,40.78,12.33
10/5/2017,97.81,986.61,45.52,113.07,30.99,108.92,62.7,52.69,5.82,111.54,41.28,55.4,60.43,71.07,198.68,40.95,14.25
