Date,Disney,ATnT,BT,CBS,CCO,DISCA,GLOB,GOOGL,IMAX,MSFT,NFLX,PTSXQ,SBGI,VZ
11/7/2017,103.44,34.86,16.5,56.94,4,19.26,35.88,1052.39,24.55,84.27,193.77,0.03,30.8,48.94
11/6/2017,103.6,35.25,16.77,57.95,4.05,19.46,37.22,1042.68,25.4,84.47,196.02,0.03,30.1,48.99
11/3/2017,103.69,35.54,16.51,58.92,4.17,19.62,36.6,1049.99,26.05,84.14,192.47,0.03,30.75,49.53
11/2/2017,103.17,35.69,16.76,57.83,4.25,20.29,36.25,1042.97,26.4,84.05,194.16,0.03,30.2,49.21
11/1/2017,104.74,35.71,17.55,56.96,4.3,20.09,36.91,1042.6,25,83.18,195.13,0.03,30.35,48.65
10/31/2017,104.78,36.23,17.51,56.66,4.5,19.63,37.72,1033.04,24.75,83.18,195.54,0.03,30.05,48.4
10/30/2017,102.68,36.17,17.56,56.9,4.4,19.16,37.47,1033.13,24.65,83.89,199.48,0.02,30.3,48.09
10/27/2017,101.18,35.7,17.5,57,4.3,19.06,37.8,1033.67,24.65,83.81,202.68,0.02,30.55,47.86
10/26/2017,101.61,35.86,17.72,56.51,4.65,19.24,38.13,991.42,24.95,78.76,199.49,0.02,29.65,48.35
10/25/2017,100.64,38.19,17.83,57.1,4.45,19.28,38.35,991.46,24.55,78.63,195.86,0.02,30.8,48.86
10/24/2017,98.64,38.5,18.15,57.39,4.5,20,39.92,988.49,24.7,78.86,194.95,0.02,31.15,49.14
10/23/2017,98.35,38.3,18.27,57.92,4.9,20.53,40.39,985.54,24.5,78.83,195.08,0.03,31.4,49.05
10/20/2017,99.03,38.59,18.12,58.3,4.8,20.83,40.71,1005.07,24.1,78.81,196.87,0.03,32.25,48.81
10/19/2017,97.81,39.51,18.22,58.9,4.8,21.41,40.6,1001.84,23.85,77.91,198.02,0.03,32.25,49.77
10/18/2017,98.04,39.5,18.19,59.97,4.95,21.52,41.86,1012.74,23.1,77.61,194.39,0.05,32.35,49.9
10/17/2017,98.31,39.48,18.11,58.89,4.85,21.72,42.02,1011,23.55,77.59,184.45,0.06,31.55,49.85
10/16/2017,98.56,39.11,18.4,58.55,4.5,21.53,41.2,1009.35,23.35,77.65,179.19,0.06,30.75,49.36
10/13/2017,97.8,39.17,18.59,58,4.65,21.53,42,1007.87,24.15,77.49,177.01,0.06,32.05,49.49
10/12/2017,98.29,39.04,18.74,56.92,4.75,21.29,42.45,1005.65,24.3,77.12,181.35,0.1,31.05,49.41
10/11/2017,98.7,38.77,18.56,58.21,4.5,21.39,41.9,1005.65,24.35,76.42,180.7,0.06,30,49.51
10/10/2017,99.4,38.72,18.65,58,4.1,21.47,41.48,987.8,24.1,76.29,181.97,0.05,29.7,49.51
10/9/2017,99.01,39.12,18.62,60.1,4.1,21.28,41.52,992.31,24.1,76.29,179.38,0.08,29.6,49.9
10/6/2017,98.25,38.59,18.78,59.23,4.05,21.35,41.1,993.64,24.15,76,178.55,0.08,29.35,49.9
10/5/2017,98.36,38.22,18.64,58.79,4,21.41,41.05,985.19,24.25,75.97,187.35,0.08,28.45,48.94
10/4/2017,98.13,38.43,18.81,59.05,4.05,21.35,41.2,966.78,24.15,74.69,188.78,0.07,28.55,49.48
10/3/2017,97.38,38.21,18.86,58.85,4,21.26,40.97,972.08,24.9,74.26,185.51,0.07,28.65,49.34
10/2/2017,96.93,37.42,19.01,57.72,4,21.29,41.3,967.47,23.4,74.61,185.68,0.07,28.6,48.09
9/29/2017,98.55,37.1,19.24,58.23,4,21.32,40.07,973.72,21,74.49,184.62,0.07,27.9,47.86
9/28/2017,99.58,36.32,19.23,58.15,4.05,21.94,39.7,964.81,21.2,73.87,182.35,0.05,27.2,47.18
9/27/2017,99.57,36.55,19.28,60.51,4.05,21.48,38.99,959.9,20.95,73.85,182.63,0.05,28.45,47.25
9/26/2017,100.07,36.26,19.38,58.82,4.1,21.2,38.16,937.43,21.3,73.26,183.64,0.05,28.7,46.79
9/25/2017,100.11,35.74,19.51,58,4.1,21,38.53,934.28,20.9,73.26,185.15,0.05,28.35,46.3
9/22/2017,100.55,35.59,19.34,59.42,3.95,20.8,38.34,943.26,21.05,74.41,181.74,0.05,28.5,46.11
9/21/2017,100.79,35.6,19.36,60.5,4.05,21.25,38.45,947.55,20.5,74.21,176.42,0.1,28.4,46.2
9/20/2017,99.86,36.57,19.56,61.98,4,21.34,37.79,947.54,21.15,74.94,179,0.05,29.6,46.91
9/19/2017,98.57,37.09,19.54,63.64,4.05,21.86,37.93,936.86,21.15,75.44,179.25,0.05,29.7,47.36
9/18/2017,98.05,37.48,19.54,64.34,4.05,21.62,39,929.75,21.2,75.16,174.52,0.05,30.35,47.92
9/15/2017,99.24,37.48,19.48,64.34,4.05,22.16,38.85,935.29,21.45,75.31,174.74,0.05,30.35,47.92
9/14/2017,98.63,37.46,19.14,64.06,3.85,22.16,38.85,940.13,21.75,74.77,174.74,0.05,30.25,47.97
9/13/2017,99.57,37.67,19.07,64.51,3.95,22.21,39,950.44,21.7,75.21,174.71,0.06,31.45,48.12
9/12/2017,98.6,37.85,19.02,63.27,4.05,22.19,38.75,946.65,22.5,74.68,174.69,0.05,29.6,48.51
9/11/2017,98.89,37.94,18.91,63.75,4.05,22.45,38.82,943.29,22.75,74.76,168.81,0.05,29.8,48.61
9/8/2017,99.21,37.99,18.87,63.89,4.05,22.81,37.84,941.41,22.7,73.98,167.12,0.05,30.1,48.68
9/7/2017,98.43,37.68,18.91,63.98,4.1,22.66,37.07,949.89,23.1,74.34,165.95,0.05,30.25,48.31
9/6/2017,98.1,37.92,18.83,64.72,4.1,22.52,37.6,942.02,22.65,73.4,168.13,0.05,29.35,48.28
9/5/2017,98.52,37.98,18.89,65.65,4,22.49,37.75,941.48,22.65,73.61,169.06,0.04,29.95,48.35
9/4/2017,97.9,37.58,18.94,65.01,4.05,22.49,38.69,951.99,23.1,73.94,169.34,0.04,29.25,48.14
9/1/2017,98.82,37.37,18.94,64.8,4.05,22.34,38.69,951.99,23.2,73.94,166.76,0.04,29.7,47.69
8/31/2017,97.89,37.6,19.1,65.69,4.15,22.49,38.89,955.24,22.9,74.77,166.54,0.05,29.75,47.89
8/30/2017,97.09,38.23,19.02,66.52,4,22.24,38.49,943.63,23.15,74.01,166.09,0.05,29.8,48.41
8/29/2017,97.07,38.16,18.89,66.7,3.9,22.6,38.49,935.75,23.1,73.05,169.98,0.05,29.2,48.48
8/28/2017,97.06,38.5,19.03,66.28,4,22.76,38.81,928.13,22.9,72.83,168.5,0.05,30.15,48.78
