Date,Disney,AAL,BOALF,FUN,MCD,SEAS,SIX
10/24/2017,103.44,46.46,5.55,62.2,172.87,12.15,62.09
10/23/2017,103.6,47.51,5.55,63.63,171.97,12.15,61.27
10/20/2017,103.69,47.45,5.55,63.53,170.43,12.38,60.82
10/19/2017,103.17,47.36,5.55,63.88,171.34,12.19,60.65
10/18/2017,104.74,47.84,5.55,63.55,168.96,12.31,60.36
10/17/2017,104.78,46.82,5.55,63.2,169.11,12.48,59.9
10/16/2017,102.68,47.25,5.55,63.37,169.05,12.53,61.51
10/13/2017,101.18,47.56,5.55,63.32,169.05,13.12,61.97
10/12/2017,101.61,48.61,5.55,62.38,168.3,13.22,61.37
10/11/2017,100.64,51.02,5.55,62.83,166.93,13.68,61.15
10/10/2017,98.64,51.95,5.55,63.15,166.72,13.16,60.92
10/9/2017,98.35,50.98,5.55,63.55,168.09,13.69,61.28
10/6/2017,99.03,51.93,5.55,62.92,167.32,13.29,60.17
10/5/2017,97.81,51.51,5.55,63.11,168.11,13.19,61.23
10/4/2017,98.04,52.03,5.55,63.63,167.37,14.11,61.83
10/3/2017,98.31,52.07,5.37,63.89,165.59,13.49,61.07
10/2/2017,98.56,52.27,5.37,63.87,167,13.39,60.67
9/29/2017,97.8,52.7,5.37,64.12,170.1,12.99,60.94
9/28/2017,98.29,52.65,5.37,64.76,170.77,13.44,60.88
9/27/2017,98.7,52.83,5.4,64.42,170.07,12.59,59.93
9/26/2017,99.4,53.03,5.4,64.11,168.65,12.1,58.02
9/25/2017,99.01,50.6,5.4,63.56,168.1,12.16,57.77
9/22/2017,98.25,51.3,5.4,64.24,166.37,12.39,58.96
9/21/2017,98.36,50.56,5.4,63.8,166.91,12.36,57.82
9/20/2017,98.13,50.73,5.4,63.61,166.23,12.41,56.75
9/19/2017,97.38,50.51,5.4,64.6,165.39,12.58,56.75
9/18/2017,96.93,47.73,5.4,65.07,164.01,12.61,57.07
9/15/2017,98.55,47.49,5.5,64.62,163.58,13.02,57.61
9/14/2017,99.58,47.49,5.5,64.96,163.88,13.22,57.4
9/13/2017,99.57,46.85,5.5,65,163.34,12.88,56.14
9/12/2017,100.07,47.58,5.5,64.74,166.3,13.2,55.29
9/11/2017,100.11,47.7,5.5,64.67,166.5,12.8,55.14
9/8/2017,100.55,47.06,5.5,63.32,165.77,12.2,52.67
9/7/2017,100.79,46.29,5.5,63.41,165.4,12.34,52.1
9/6/2017,99.86,45.42,5.5,65.35,165.01,12.7,53.6
9/5/2017,98.57,44.38,5.5,65.5,165.37,12.47,53.23
9/4/2017,98.05,45.31,5.5,66.8,163.91,12.63,53.62
9/1/2017,99.24,46,5.5,66.8,163.15,12.63,53.62
8/31/2017,98.63,46.19,5.5,69.38,160.58,12.98,54.57
8/30/2017,99.57,47,5.5,67.91,160.12,12.89,53.12
8/29/2017,98.6,46.29,5.5,67.84,159.6,12.99,52.38
8/28/2017,98.89,45.86,5.5,68.26,158.8,13.35,51.9
8/25/2017,99.21,43.6,5.5,67.81,157.21,13.78,53.07
8/24/2017,98.43,43.84,5.35,67.1,156.86,13.33,52.8
8/23/2017,98.1,44.31,5.35,66.3,156.96,13.29,52.28
8/22/2017,98.52,43.92,5.35,66.51,156.68,13.4,53.22
8/21/2017,97.9,45.31,5.35,66.26,157.49,13.01,53.23
8/18/2017,98.82,45.31,5.35,66.4,154.05,13.45,53.89
8/17/2017,97.89,44.74,5.35,66.35,153.35,13.51,54.75
8/16/2017,97.09,44.32,5.37,67.77,156.26,13.79,54.42
8/15/2017,97.07,44.56,5.37,65.91,158.91,13.84,53.8
8/14/2017,97.06,44.95,5.37,65.29,159.03,13.41,53.81
8/11/2017,101.5,45.25,5.37,64.38,159.88,12.76,54.32
8/10/2017,101.6,42.92,5.37,64.25,157.43,12.68,54.51
8/9/2017,101.5,43.97,5.37,65.27,156.68,12.78,54.6
8/8/2017,101.5,45.41,5.37,65.94,156.92,12.76,55.37
8/7/2017,101.2,45.71,5.37,66.22,157,13.61,55.33
8/4/2017,102.87,45.55,5.15,66.46,157,14.21,56.28
8/3/2017,102.57,46.03,5.15,65.25,156.33,13.86,55.6
8/2/2017,102.56,48.41,5.15,65.86,161.53,14.07,55.31
8/1/2017,102.41,48.52,5.15,69.08,159.71,15.27,56.86
7/31/2017,101.52,48.81,5.15,69.44,159.9,15.38,56.87
7/28/2017,101.5,48.35,5.15,69.42,158.22,14.42,57.99
7/27/2017,102.77,48.55,5.15,68.98,159.1,14.64,56.99
7/26/2017,101.17,49.4,5.15,69.47,159.81,15.04,59.23
