Date,Disney,AMCX,CMCSA,FOXA,SNE,TWX,VIAB
6/16/2011,103.44,35.49,8.49,12.1,30.02,28.21,38.49
6/17/2011,103.6,35.05,8.37,12.13,29.88,27.89,39.38
6/20/2011,103.69,34.95,8.31,12.33,29.85,27.82,40.47
6/21/2011,103.17,35,8.49,12.16,29.8,27.53,40.44
6/22/2011,104.74,35.54,8.46,12.26,30.41,27.57,41.29
6/23/2011,104.78,35,8.41,12.23,30.6,27.97,40.41
6/24/2011,102.68,35.55,8.26,11.68,31.57,27.32,41.58
6/27/2011,101.18,36.21,8.39,11.59,33.16,27.82,42.08
6/28/2011,101.61,37.5,8.34,11.67,33.73,27.6,42.47
6/29/2011,100.64,39.91,8.32,11.46,33.34,27,41.22
6/30/2011,98.64,43.5,8.41,11.64,33.99,27.54,41.51
7/1/2011,98.35,39.85,8.26,11.34,33.25,27.44,39.88
7/5/2011,99.03,38.53,8,11.15,34.36,26.9,39.55
7/6/2011,97.81,38.78,7.93,10.78,34.18,26.08,40.79
7/7/2011,98.04,39.52,8.01,11,34.8,26.28,39.94
7/8/2011,98.31,38.54,7.85,11.09,33.5,26.06,40.65
7/11/2011,98.56,37.06,7.93,10.99,33.24,25.84,41.46
7/12/2011,97.8,37.05,7.81,10.87,33.8,25.7,41.5
7/13/2011,98.29,37.01,7.92,10.95,33.23,26.32,40.74
7/14/2011,98.7,37.25,7.97,10.88,34.21,26.89,40.2
7/15/2011,99.4,37.09,8.15,11.08,35.41,27.33,40.7
7/18/2011,99.01,36.46,7.99,11.87,34.94,26.75,39.87
7/19/2011,98.25,36.97,7.76,11.36,34.48,26.42,40.03
7/20/2011,98.36,37.32,7.71,11.26,34.26,25.91,40.57
7/21/2011,98.13,38.29,7.61,10.98,33.01,25.81,41.27
7/22/2011,97.38,37.51,7.7,11.21,33.77,26.28,42.02
7/25/2011,96.93,37.63,7.66,10.95,33.81,26.25,42.65
7/26/2011,98.55,37.62,7.67,11.23,34.06,26.63,43.33
7/27/2011,99.58,37.35,7.67,11.39,34.06,26.73,42.15
7/28/2011,99.57,37.45,7.84,11.66,34.22,27.51,42.71
7/29/2011,100.07,37.19,7.83,11.68,34.44,27.75,43.17
8/1/2011,100.11,37.3,7.87,11.72,34.71,27.88,43.63
8/2/2011,100.55,37.01,8,11.78,34.43,28.22,43.19
8/3/2011,100.79,36.14,8.1,11.72,34.78,27.81,43.33
8/4/2011,99.86,35.04,8.07,11.45,34.61,27.3,43.6
8/5/2011,98.57,35.22,8.21,11.72,34.6,27.5,42.77
8/8/2011,98.05,30.71,8.07,11.66,34,27.67,42.3
8/9/2011,99.24,31.06,8.22,11.61,34.11,27.84,43.07
8/10/2011,98.63,30.28,8.42,11.95,34.8,28.38,43.32
8/11/2011,99.57,34.31,8.4,12.02,34.85,28.44,43.55
8/12/2011,98.6,33.67,8.48,11.9,35.5,28.39,44.06
8/15/2011,98.89,33.98,8.59,12.07,35.04,28.67,44.72
8/16/2011,99.21,34.55,8.72,12.53,36.34,29.28,44.79
8/17/2011,98.43,34.49,8.78,12.4,36.75,29.37,43.6
8/18/2011,98.1,32.96,8.76,12.39,37.15,29.34,43.86
8/19/2011,98.52,33.05,8.77,12.4,37.65,29.27,43.92
8/22/2011,97.9,32.23,8.79,12.38,38.17,29.39,42.55
8/23/2011,98.82,33.06,8.71,12.18,37.34,29.28,42.57
8/24/2011,97.89,33.72,8.77,12.13,37.61,29.2,41.82
8/25/2011,97.09,33.26,8.75,12.18,37.57,29.78,41.93
8/26/2011,97.07,34.3,8.79,12.17,37.8,29.91,41.19
8/29/2011,97.06,34.82,8.84,12.18,38.36,29.87,40.28
8/30/2011,101.5,36.49,8.77,12.14,38.64,29.95,40.31
8/31/2011,101.6,37,8.89,12.17,38.84,29.99,40.16
9/1/2011,101.5,35.94,9.05,12.18,40.44,30,40.23
9/2/2011,101.5,34.02,9.09,12.39,38.7,29.96,40.1
9/6/2011,101.2,32.87,9.22,12.53,37.66,29.94,39.52
9/7/2011,102.87,33.97,9.17,12.56,38.22,30.2,38.53
9/8/2011,102.57,33.41,9.25,12.64,38.43,30.26,38.18
9/9/2011,102.56,32.98,9.37,12.55,38.84,30.09,37.72
9/12/2011,102.41,32.8,9.42,12.51,38.32,29.98,37.53
9/13/2011,101.52,33.83,9.43,12.67,38.42,30.11,37.13
9/14/2011,101.5,36.25,9.41,12.85,38.57,30.58,36.4
9/15/2011,102.77,36.33,9.38,12.77,37.42,30.67,37.76
9/16/2011,101.17,36.35,9.15,12.58,36.87,30.76,37.82
9/19/2011,100.7,36.46,9.22,12.77,36.85,30.87,37.87
9/20/2011,101.38,35.99,9.25,13.21,36.81,31.28,39.06
9/21/2011,102.2,35.48,9.32,13.05,36.54,31.35,39.66
9/22/2011,101.51,34.01,9.34,13.44,36.6,31.42,39.79
9/23/2011,101.4,34.1,9.47,13.75,37,31.51,38.39
9/26/2011,101.99,34.41,9.43,13.7,36.69,31.53,39.07
9/27/2011,101.35,34.03,9.16,13.68,35.56,31.64,39.49
9/28/2011,102.83,33.41,9.29,13.7,36.11,31.36,39.76
9/29/2011,106.98,33.19,9.27,13.77,35.67,31.8,39.39
9/30/2011,106.35,31.95,9.27,13.88,35.49,31.71,40.38
10/3/2011,107.69,31.46,9.4,13.95,35.13,31.88,40.73
10/4/2011,109.12,30.99,9.48,14,34.98,31.77,40.82
10/5/2011,108.67,31,9.54,14.1,35.07,32.13,40.73
10/6/2011,110.61,32.7,9.23,13.64,35.25,31.32,40.66
10/7/2011,109.93,32.63,9.41,13.51,34.7,31.69,41.03
10/10/2011,109.96,33.11,10,13.69,35.34,32.08,40.44
10/11/2011,110,32.82,9.89,13.4,34.22,31.71,41.29
10/12/2011,106.94,31.5,10.2,13.93,34.64,32.48,42.37
10/13/2011,106.42,31.5,9.94,13.37,33.48,31.32,42.42
10/14/2011,107,32.55,9.87,12.68,33.28,30.56,41.9
10/17/2011,107.09,32.74,9.26,12.13,33.2,29.62,41.81
10/18/2011,107.36,33.59,9.18,11.87,32.9,29,39.75
10/19/2011,106.82,34.06,9.02,12.73,34.31,30.19,40.24
10/20/2011,105.75,33.69,9.04,12.58,33.57,30.18,40.05
10/21/2011,104.79,33.84,9.09,12.6,33.24,30.24,40.25
10/24/2011,105.09,34.09,8.88,12.42,31.53,29.87,40.23
10/25/2011,104.29,33.08,8.8,12.12,31.19,29.3,39.3
10/26/2011,104.38,33.35,9.05,12.18,30.67,29.37,38.38
10/27/2011,103.84,34,8.85,11.94,30.42,29.35,38.35
10/28/2011,103.59,33.49,8.79,11.63,31.73,29.49,38.27
10/31/2011,103.32,32.62,8.39,11.06,30.67,28.51,38.62
11/1/2011,103.35,31.26,8.52,11.25,32.26,28.84,38.15
11/2/2011,105.63,32.76,8.39,11.2,31.37,28.54,37.99
11/3/2011,107.46,33.45,8.84,11.13,30.9,28.56,39.41
11/4/2011,107.46,33.25,8.86,11.17,30.39,28.31,39.3
11/7/2011,106.25,33.15,9.17,11.72,31.65,29.66,38.83
11/8/2011,105.71,32.98,9.05,11.46,30.78,29.71,39.66
11/9/2011,106.86,32.53,9.01,11.09,30.23,28.93,39.96
11/10/2011,105.41,34.42,9.19,11.57,30.15,29.79,39.58
11/11/2011,105.57,36.8,9.2,11.46,30.05,30.01,39.57
11/14/2011,104.36,36.35,8.9,10.99,29.24,29.2,38.99
11/15/2011,104.22,36.97,8.68,10.76,28.29,29.14,39.62
11/16/2011,104.8,36.78,8.72,10.93,28.62,28.95,40.91
11/17/2011,103.94,37.14,8.71,11.05,28.2,29,40.73
11/18/2011,105.37,37.37,9.04,11.57,28.22,30.24,40.49
11/21/2011,105.51,37.12,9.1,11.61,28.6,30.23,40.34
11/22/2011,105.98,35.87,9.08,11.39,28.4,30.28,40.78
11/23/2011,106.14,34.6,9.33,12.48,28.89,31.64,41.1
11/24/2011,106.56,34.6,9.2,12.3,28.33,31.45,40.79
11/25/2011,107.04,33.6,9.29,12.29,28.25,31.68,40.67
11/28/2011,105.62,35.2,9.26,12.16,27.93,31.6,39.51
11/29/2011,104.32,35.31,9.18,11.99,28.4,31.2,39.28
11/30/2011,105.92,36,9.12,11.72,27.56,30.25,39.05
12/1/2011,105.5,35.81,9.09,11.67,27.74,30.52,39.25
12/2/2011,106.52,34.66,8.91,11.02,27.39,29.57,40.02
12/5/2011,107.18,35.15,8.84,10.92,27.33,29.49,40.27
12/6/2011,108.21,35.01,9.06,11,27.16,29.25,39.76
12/7/2011,107.94,36.06,8.84,10.6,26.84,28.41,39.16
12/8/2011,108.34,35.7,8.69,10.39,26.68,27.72,39.26
12/9/2011,108.41,36.25,8.87,10.34,26.34,27.33,39.73
12/12/2011,108.41,35.46,8.73,10.27,26.36,27.04,38.7
12/13/2011,107.27,35.91,8.9,10.55,26.88,27.05,38.57
12/14/2011,107.71,35,8.92,10.76,27.05,27.92,38.84
12/15/2011,107.02,36.22,8.92,10.95,27.78,28.38,38.44
12/16/2011,107.63,36.49,9.04,11.16,27.86,28.94,39.74
12/19/2011,107.52,37,9.26,11.28,28.51,28.86,39.25
12/20/2011,106.68,37.13,9.51,11.5,29.23,29.64,38.23
12/21/2011,106.31,36.81,9.49,11.46,29.08,29.18,38.55
12/22/2011,107.98,36.74,9.66,11.43,28.68,29.34,38.18
12/23/2011,109.13,37.04,9.27,10.86,26.87,28.31,38.52
12/26/2011,109.69,37.04,9.51,11.18,27.15,28.84,38.3
12/27/2011,109.58,37.09,9.43,11.44,27.1,29.03,38.9
12/28/2011,109.66,37.24,9.18,10.94,26.66,28.4,39.5
12/29/2011,112.07,37.26,9.41,11.26,28.18,29.54,39.95
12/30/2011,111.42,37.58,9.66,11.51,28.94,30.07,39.98
1/2/2012,111.99,37.58,9.74,11.61,28.85,30.45,39.68
1/3/2012,111.17,37.34,9.67,11.43,29.72,30.41,39.16
1/4/2012,111.62,37.7,9.78,11.27,29.56,29.98,39.12
1/5/2012,114.37,38.25,9.57,11.26,31.9,29.97,39.22
1/6/2012,114.73,38.3,9.74,11.33,31.22,30.16,39.04
1/9/2012,115.6,38.57,9.74,11.86,32.13,31.19,38.32
1/10/2012,115.84,38.75,9.61,11.84,31.41,31.02,38.3
1/11/2012,115.58,39.24,9.62,12.03,31.2,31.13,36.49
1/12/2012,115.18,39.75,9.47,12.46,31.27,31.53,35.63
1/13/2012,113.7,39.68,9.32,12.25,31.67,31.02,35.82
1/16/2012,114.44,39.68,9.37,12.26,31.7,31.25,35.65
1/17/2012,114.79,39.33,9.31,12.1,31.1,30.69,35.49
1/18/2012,113.73,40.2,9.01,11.63,29.8,29.81,35.26
1/19/2012,114.19,42.02,9.09,11.41,29.69,29.52,35.8
1/20/2012,113.78,41.82,8.94,11.25,30.01,29.54,34.33
1/23/2012,113.2,41.7,8.88,11.26,29.6,29.43,33.92
1/24/2012,113.2,41.79,8.88,11.36,30.03,29.69,33.77
1/25/2012,113.04,41.89,9.06,11.42,29.88,30.1,33.23
1/26/2012,113.07,41.82,8.92,11.1,29.92,29.39,32.87
1/27/2012,112.43,42.21,8.91,11.06,29.51,29.06,33.84
1/30/2012,112.58,41.62,8.73,10.84,28.94,28.87,33.33
1/31/2012,113.05,42.76,8.51,10.53,28.07,28.58,32.85
2/1/2012,113,42.95,8.67,10.52,28.3,28.72,32.51
2/2/2012,113.04,42.01,8.52,10.51,28.01,28.67,32.07
2/3/2012,113.2,42.26,8.63,10.73,28.88,29.07,31.5
2/6/2012,113.39,42.14,8.5,10.69,28.49,28.35,30.02
2/7/2012,113.18,42.38,8.55,10.91,27.99,28.74,31.15
2/8/2012,112.53,42.85,8.97,11.29,28.92,29.49,31.53
2/9/2012,113.05,42.9,9.04,11.52,29.06,30.1,30.89
2/10/2012,112.38,42.19,9.11,11.69,29.92,30.41,30.56
2/13/2012,112.14,42.64,8.9,11.34,29.52,29.56,30.54
2/14/2012,112.24,43.01,8.96,11.45,29.4,29.72,30.37
2/15/2012,112.08,42.93,8.99,11.66,29.65,29.74,30.02
2/16/2012,111.75,44.26,9.2,11.73,29.95,30.47,29.67
2/17/2012,112.71,45.31,9.21,12,30.13,30.58,28.77
2/20/2012,111.76,45.31,8.9,11.99,29.88,30.49,28.88
2/21/2012,111.71,44.45,9.02,11.93,30.69,30.44,27.9
2/22/2012,111.87,44.12,8.79,11.76,30.97,30.11,28.12
2/23/2012,112.31,44.93,8.82,11.75,30.92,29.95,28.08
2/24/2012,111.52,45.28,9.05,12.15,31.53,30.59,28.16
2/27/2012,110.92,45.47,9.07,12,30.96,30.54,28.04
2/28/2012,111.03,45.46,8.98,11.72,30.28,29.96,29.04
2/29/2012,110.84,45.39,8.96,11.69,30.06,29.49,29.73
3/1/2012,110.86,46.05,9.29,12.15,31,30.07,29.63
3/2/2012,110.67,45.3,9.16,11.8,30.86,29.64,29.74
3/5/2012,111.24,45.31,9.17,11.82,30.77,29.69,29.85
3/6/2012,110.59,44.15,9.08,11.46,31.45,29.42,31.11
3/7/2012,111.04,44.3,9.04,11.34,30.92,29.38,29.9
3/8/2012,110.09,44.56,8.91,11.5,30.54,29.35,30.39
3/9/2012,110.23,45.69,8.83,11.26,30.48,28.91,29.86
3/12/2012,110.32,45.62,9.04,11.77,31.47,29.34,29.66
3/13/2012,109.73,45.96,8.88,11.71,31.49,29.02,28.5
3/14/2012,110.12,46.04,8.95,11.84,31.48,29.52,27.93
3/15/2012,110.01,44,9,12.05,32.26,30.02,27.69
3/16/2012,110.06,43.8,9.01,12.01,32.24,30.15,28.53
3/19/2012,110.06,44.41,9.01,12.09,31.89,29.79,29.07
3/20/2012,110.71,43.85,9.07,12.31,31.95,30.19,28.9
3/21/2012,110.18,45.26,9.19,12.23,32.22,30.11,28.49
3/22/2012,110.33,44.75,9.47,12.32,32.13,30.48,29.56
3/23/2012,109.65,44.66,9.51,12.18,32.95,30.42,29.77
